SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,TERM,FULL_NAME
AAS,3211W,001,LEC,Race & Racism in the U.S.,A,10,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,A-,7,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,B+,1,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,B-,1,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,C-,1,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,F,1,Ethan Johnson,1229,AAS 3211W
AAS,3211W,001,LEC,Race & Racism in the U.S.,W,1,Ethan Johnson,1229,AAS 3211W
AAS,3251W,001,LEC,"Race, Class, and Gender",A,14,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",A-,4,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",B,2,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",B+,1,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",B-,1,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",C+,1,Monica Jarvi,1229,AAS 3251W
AAS,3251W,001,LEC,"Race, Class, and Gender",F,1,Monica Jarvi,1229,AAS 3251W
AAS,3303W,001,DIS,Writing Differences,A,8,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,A-,11,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,B,3,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,B+,2,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,B-,2,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,C,1,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,F,1,Jigna Desai,1229,AAS 3303W
AAS,3303W,001,DIS,Writing Differences,W,2,Jigna Desai,1229,AAS 3303W
AAS,3351,001,DIS,Asian Amer and Popular Culture,A,4,John Matsunaga,1229,AAS 3351
AAS,3351,001,DIS,Asian Amer and Popular Culture,B,1,John Matsunaga,1229,AAS 3351
AAS,3351,001,DIS,Asian Amer and Popular Culture,C,2,John Matsunaga,1229,AAS 3351
AAS,3351,001,DIS,Asian Amer and Popular Culture,D,1,John Matsunaga,1229,AAS 3351
AAS,3351,001,DIS,Asian Amer and Popular Culture,W,2,John Matsunaga,1229,AAS 3351
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",A,5,Teresa Swartz,1229,AAS 3503
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",A-,3,Teresa Swartz,1229,AAS 3503
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",B+,1,Teresa Swartz,1229,AAS 3503
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",C-,2,Teresa Swartz,1229,AAS 3503
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",F,1,Teresa Swartz,1229,AAS 3503
AAS,3503,001,LEC,"Asian Am Id, Families, & Comm",W,2,Teresa Swartz,1229,AAS 3503
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,A,5,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,A-,2,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,B,2,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,C,1,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,C+,1,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,F,2,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,S,2,Yuichiro Onishi,1229,AAS 3601W
AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,W,2,Yuichiro Onishi,1229,AAS 3601W
ABUS,3051,301,LEC,Career Search for Profl Envt,A,27,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,A-,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,B,2,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,B+,2,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,B-,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,C,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,D+,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,F,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,S,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,301,LEC,Career Search for Profl Envt,W,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,A,24,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,A-,3,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,B,1,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,B+,1,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,C-,2,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,D,1,Alyssa Maples,1229,ABUS 3051
ABUS,3051,302,LEC,Career Search for Profl Envt,S,1,Alyssa Maples,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,A,13,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,A-,6,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,B,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,B+,5,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,B-,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,C-,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,D,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,F,3,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,S,1,Carol Klempka,1229,ABUS 3051
ABUS,3051,303,LEC,Career Search for Profl Envt,W,2,Carol Klempka,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,A,21,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,A-,3,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,B,2,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,B+,2,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,C,3,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,C+,1,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,C-,1,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,F,1,Caroline Marin,1229,ABUS 3051
ABUS,3051,304,LEC,Career Search for Profl Envt,S,2,Caroline Marin,1229,ABUS 3051
