INSTITUTION,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,TERM
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A,22,10,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A-,22,7,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B+,22,1,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B-,22,1,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,C-,22,1,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,F,22,1,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,W,22,1,PI,"Johnson,Ethan William",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A,24,14,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A-,24,4,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B,24,2,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B+,24,1,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B-,24,1,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",C+,24,1,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",F,24,1,PI,"Jarvi,Monica Jean",,,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,A,30,8,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,A-,30,11,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,B,30,3,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,B+,30,2,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,B-,30,2,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,C,30,1,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,F,30,1,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3303W,1,DIS,Writing Differences,W,30,2,PI,"Desai,Jigna",Professor,FA,1229
UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,A,10,4,PI,"Matsunaga,John Michael",Lecturer,AP,1229
UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,B,10,1,PI,"Matsunaga,John Michael",Lecturer,AP,1229
UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,C,10,2,PI,"Matsunaga,John Michael",Lecturer,AP,1229
UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,D,10,1,PI,"Matsunaga,John Michael",Lecturer,AP,1229
UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,W,10,2,PI,"Matsunaga,John Michael",Lecturer,AP,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",A,14,5,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",A-,14,3,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",B+,14,1,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",C-,14,2,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",F,14,1,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3503,1,LEC,"Asian Am Id, Families, & Comm",W,14,2,PI,"Swartz,Teresa Toguchi",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,A,17,5,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,A-,17,2,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,B,17,2,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,C,17,1,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,C+,17,1,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,F,17,2,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,S,17,2,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,AAS,3601W,1,LEC,War & Empire: Asian Amer Persp,W,17,2,PI,"Onishi,Yuichiro",Associate Professor,FA,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A,38,27,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A-,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B,38,2,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B+,38,2,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B-,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,C,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,D+,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,F,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,S,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,W,38,1,PI,"Klempka,Carol",Teaching Specialist,AP,1229
