TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,A,20,12,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,A-,20,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,B,20,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,B+,20,2,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,F,20,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,S,20,3,PI,"Ho,Karen",Professor,FA,karenho
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A,27,11,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A-,27,4,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B,27,3,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B+,27,1,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B-,27,2,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,C,27,1,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,C+,27,3,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,W,27,2,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A,26,19,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A-,26,3,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B,26,1,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",C,26,1,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",C-,26,1,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",D,26,1,PI,"Pharris,Mark Henry Kristian",,,
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,A,29,16,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,A-,29,2,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,B+,29,2,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,C,29,2,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,C+,29,1,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,C-,29,1,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,F,29,2,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,S,29,2,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3303W,1,DIS,Writing Differences,W,29,1,PI,"Saini,Charlie",Teaching Specialist,AP,saini
Fall 2023,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,A,10,5,PI,"Matsunaga,John Michael",Lecturer,AP,matsu100
Fall 2023,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,B,10,3,PI,"Matsunaga,John Michael",Lecturer,AP,matsu100
Fall 2023,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,B+,10,1,PI,"Matsunaga,John Michael",Lecturer,AP,matsu100
Fall 2023,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,C,10,1,PI,"Matsunaga,John Michael",Lecturer,AP,matsu100
Fall 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A,33,19,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Fall 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B,33,5,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
