CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,AAS,1101,001,Imagining Asian America,A,6,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,A-,7,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,B,5,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,B+,1,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,B-,1,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,C,1,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,C+,1,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,S,2,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,1101,001,Imagining Asian America,W,1,Karen Ho,karenho,1249,AAS 1101
UMNTC,AAS,3001,001,Contmp Persp on Asian America,A,6,Kale Fajardo,kfajardo,1249,AAS 3001
UMNTC,AAS,3001,001,Contmp Persp on Asian America,A-,2,Kale Fajardo,kfajardo,1249,AAS 3001
UMNTC,AAS,3001,001,Contmp Persp on Asian America,B,1,Kale Fajardo,kfajardo,1249,AAS 3001
UMNTC,AAS,3001,001,Contmp Persp on Asian America,S,1,Kale Fajardo,kfajardo,1249,AAS 3001
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A,5,Enid Logan,elogan,1249,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A-,9,Enid Logan,elogan,1249,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B,1,Enid Logan,elogan,1249,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B-,2,Enid Logan,elogan,1249,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,C,1,Enid Logan,elogan,1249,AAS 3211W
