TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,A,7,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,A-,6,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,B,1,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,B+,9,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,B-,1,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,C,2,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,1104,001,Introduction to Black America,W,1,Hilary Kowino,hkowino,AAAS 1104
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,A,9,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,A-,1,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,B,2,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,B+,1,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,B-,1,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNDL,UMNDL,AAAS,3202,001,African Story-Telling Folklore,W,1,Chang'aa Mweti,cmweti,AAAS 3202
1259,UMNTC,UMNTC,AAS,1101,001,Imagining Asian America,A,25,Kale Fajardo,kfajardo,AAS 1101
1259,UMNTC,UMNTC,AAS,1101,001,Imagining Asian America,A-,1,Kale Fajardo,kfajardo,AAS 1101
1259,UMNTC,UMNTC,AAS,1101,001,Imagining Asian America,B+,1,Kale Fajardo,kfajardo,AAS 1101
1259,UMNTC,UMNTC,AAS,1101,001,Imagining Asian America,C-,1,Kale Fajardo,kfajardo,AAS 1101
1259,UMNTC,UMNTC,AAS,1101,001,Imagining Asian America,D,1,Kale Fajardo,kfajardo,AAS 1101
