"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3301","Asian America Through Arts and Culture","Twin Cities","Americans of Asian descent comprise one of the fastest-growing racial groups in the U.S. today. While large numbers of Asian Americans have been in the U.S. since the middle of the nineteenth century, it is only in the past few decades that they have been widely recognized in art, culture, and media. This course focuses on how writing, art, performance, film, and/or other works of culture registers the experiences of Asian Americans past and present. How do individual artists or writers depict themselves and others as part of families, communities, or nations? How do questions of race, racism, family, identity, immigration, labor, citizenship, inequality, gender, sexuality, media stereotypes, and activism affect the perspectives and the creative choices in these works?","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AAS","3341","Asian American Images","Twin Cities","From 19th-century anti-Chinese political cartoons to Harold and Kumar, visual representations of Asians in the United States have long influenced how Asian Americans are seen and treated. What are some of the ways that photography, graphic arts, and digital culture have pictured Asian Americans as aliens, citizens, immigrants, workers, family and community members, entertainers, and artists? Course topics will relate visual images to particular historical moments, including the early exclusion period and the ""yellow peril"" stereotype; WWII Japanese American incarceration and the drawings of Miné Okubo, and photo-journalism documenting U.S. military involvement in Southeast Asia and its aftermath. How do photographic and other images work to counter historical amnesia, heal traumatic loss, and document social injustice? Other weeks of the class will explore the ways that individuals, families, and communities use photographs, video, and other visual media to preserve a sense of connection and belonging. We will also look at how contemporary Asian American photographers such as Tseng Kwong Chi, Nikki Lee, and Wing Young Huie experiment with visual images to raise questions of racial and national identity, social inequality, gender, sexuality, and political agency. The course also includes a digital storytelling project that encourages students to create video images and sound reflecting Asian American immigration stories from local communities.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3351","Asian Americans and Popular Culture","Twin Cities","Over the past few decades, Asian Americans have become increasingly visible both as the subjects and producers of popular culture in the United States. This course will explore how this new recognition of Asian Americans in popular literature, cinema, television, and entertainment is related both to longer histories of Asian immigration and racial exclusion and to post-1960s efforts to forward racial awareness, community activism, and social justice. Our first unit will look at how particular stereotypes such as the yellow peril or the wartime enemy encouraged anti-Asian feeling and violence and legal restrictions on immigration and naturalization. We will then examine how throughout history, Asian immigrants and their descendants used song, dance, theater, writing, and other forms of popular culture to express personal desires and foster collective ties. Our final unit concentrates on contemporary popular culture and its relationship to the changing identities of Asian Americans. How do Asian Americans influence the current essays, films, and videos that are consumed by millions today? How are increasingly pan-ethnic, interracial, multiracial, transnational, and global experiences reflected in popular culture?","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3409W","Asian American Women's Cultural Production","Twin Cities","This course explores cultural texts produced by and about Asian American women and queers. It wrestles with the complexities of a historical moment in which Asian American women are both increasingly visible in pop culture and increasingly visible targets of violence. We will push beyond judgments of “positive” or “negative” representations of Asian Americans and instead explore the political dimensions of these cultural representations—that is, how they animate, reference, or repress longer histories of migration, war, labor, and empire. We will approach the categories of both “Asian American” and “women” less as static identities and more as shifting political coalitions that bring together diverse groups of people whose experience of gender, sexuality, race, and class deviates from the norm of white, heterosexual, and cisgender American citizenship. In tracking (and at times celebrating) these deviations, we will ask: how might film, TV, literature, art, and theory help illuminate Asian American feminist politics?","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","3301","The Music of Black Americans","Twin Cities","This course examines the variety of ways African and African Americans express social history through music. It will consider the union of African elements and European elements that combined to present a new syncretized African-American product. To do this it is imperative that we explore the diversity of musical “voices” found within the African American culture. This diversity can be seen in the struggles to retain African cultural effects and the desire to be eclectic, creative, and contemporary. Such an approach to the study of the place of Black music in American music corresponds with the criteria of Diversity and Social Justice in the United States Liberal Education. The “multi-layered operation of power, prestige, and privilege” can be understood through an examination of the music of African Americans, which represents both a Free African voice and an enslaved African voice; the western-trained Black performer/composer and the self-taught performer/composer. It also represents the habits of well-to-do African Americans and the poor African Americans. Students will examine the complexities of the history of African Americans and how this is played out in the development of musical styles and genres. From this, students will then begin to understand how this unique diversity within a community affects those outside of those communities. Such an approach to the study of the place of Black music in American music corresponds with the criteria of Diversity and Social Justice in the United States Liberal Education.

We will follow elements found in West African culture and music such as ""call and response"" and the ""2nd Line"" as they travel to the ""New World"" and expressed through Spirituals, Symphonies, Gospel Music, Jazz, Rock and Roll, Step Bands and more. Through lectures, readings, discussion, audiovisual examples, and homework assignments student can expect to gain a deeper understanding of the ways music both reflects and influences the social history of all Americans.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"AFRO","3578","Contemporary Sub-Saharan African Popular Art Forms","Twin Cities","This course explores popular art practices and representations – mediated through the lens of television, radio, popular cinema, sequential art, and the internet – as the everyday expressions of modern African identities. As sites where the tensions, frictions, collisions and notably, the productive creativities of the local and the global are circulated, negotiated and contested, African popular cultures provide insights into a unique and increasingly crucial facet of contemporary African artistic practice as critical intervention. The course is designed on the premise that Africans of all social strata and lifestyles are strategic and deliberate consumers of popular cultural forms, generated within local cultures as signifiers of larger social, political, and economic processes. In light of prevailing studies which sometimes end up naively celebrating agency and resistance, AFRO 3578 underscores the role of popular cultures as public/private sites of power's ideological and material (re-) production, contestation, or transformation. It considers creative practices as sites of both resistance and accommodation; of creative adaptation, innovation, and resilience. Through our discussion of communication technologies and their role in transmitting artistic and political ideas beyond the confines of dominant discourses and established institutions, we will evaluate the interface of technology and sociocultural shifts.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AFRO","3654","African Cinema","Twin Cities","This course introduces you to films written and directed by African filmmakers beginning the 2nd part of the 20th Century. Through an exploration of the stylistic and thematic issues raised by each film, it is expected that students will gain a broad understanding of how African filmmakers portray African social and cultural life, including the artistic and political contexts within which they work. In this way, students will gain an historical perspective on the origins of African filmmaking, confront the basic social, cultural, and aesthetic questions raised by African filmmakers and critics, and consider how questions raised by African filmmakers and their films fit into the larger context of world cinema. We will contrast postcolonial African films with Hollywood jungle epics, settler/adventure romances in safari paradise, and colonial movies about Africa. Moving beyond strict categories and standards we will also examine the role of documentary films in shaping our understanding of African people's lives and the social construction of reality. We will review the place of documentary film in the current media-scape and discuss its functions and limitations. Most films will be screened in original languages with English subtitles.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Summer"
"AFRO","3655","African-American Cinema","Twin Cities","African American cinematic achievements from silent films of Oscar Micheaux through contemporary Hollywood and independent films. Class screenings, critical readings.","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AFRO","3681","Black Central & Nordic Europe","Twin Cities","Europe is constantly associated with whiteness, yet Black people have existed in Northern and Central Europe (the contemporary spaces known as Germany, Austria, the Netherlands, Belgium, and Scandinavia) for centuries. To counter this imagined whiteness, students will be reading histories and Black authors' experiences in these nations. A closer investigation will show that Black people have been traveling to Europe (willingly and unwillingly) for centuries. While Afro-Europeans remain at the margins of these nations, they find avenues to survive and thrive in the face of microaggressions and racism. As the semester progresses, we will examine the following questions: What is daily life like in a majority white country? In what ways are these authors included or excluded from national discourses? What ways do they bring attention to anti-Blackness in their local contexts? How do they define home and belonging? These questions will help us understand the imagined citizens of Central Europe and the people trying to tear these false images down.","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AFRO","3745","Black Cultural Studies","Twin Cities","What is black life? And what does it mean to talk about black life in the context of the push toward the liberation of black lives? In recent years we have become accustomed to hearing about and debating the efficacy of the term and movement ""Black Lives Matter,"" but what, other than precarity, constitutes these lives that matter? How have black people collectively thrived even under conditions that would assume otherwise? In this course we will consider the myriad ways black people have gone about creating, dreaming, struggling, building, educating, loving, and living, even in the midst of all that works to bring death near. We will explore a range of cultural forms, including stand-up comedy, hip hop and R&B music, reality television, social media, and film, in order to contemplate the urgency and necessity of black social life, or, what it means to be with and for black people.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"AMES","1001","Asian Film and Animation","Twin Cities","Various film styles within Asian film/animation production. Ways of analyzing film. Work of 20th-century directors in Asia.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1351","Chinese Martial Arts Cinema","Twin Cities","Martial arts cinema may be China's most globally popular as well as most culturally distinctive form of film making. With origins in traditional Chinese popular literature and a cinematic history going back to the silent film era, the genre has experienced multiple periods of popularity both in China since the 1920s and in the West since the 1960s-70s. This course will look at Chinese martial arts cinema with these learning goals in mind:
- To learn the distinctive film style of the genre by discussing basic film techniques such as cinematography, editing, and performance.
- To use martial arts films to explore deeper aspects of Chinese culture such as philosophy, religion, and ethics.
- To see how the development of martial arts cinema reflected trends in modern Chinese history, including the tension between nationalism and globalism.
We will watch films from the pre-1949 Republic of China, the post-1949 People's Republic of China, Hong Kong during the British colonial period, and Taiwan. Each week students will have one film to watch streaming as homework and a reading assignment usually totaling 20-30 pages. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
