"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AGRO","1101","Biology of Plant Food Systems","Twin Cities","Designed for students who are not majors in a life science program, but who wish to acquire a better understanding of biological concepts especially as they relate to their lives. We  examine current issues related to food, food production and the environment which provide the context to investigate fundamental concepts of biology including productivity, energy, genetic change in populations, and environmental responses to human activity. We use a problem-based learning approach to explore three contemporary issues of great importance: risks and benefits of GMOs, farming and food, and the dead zone in the Gulf of Mexico. Lab, greenhouse, field, and classroom discussions.","4","4","No","1","4","OPT - Student Option","-","Every Spring"
"ANSC","3509","Animal Biotechnology","Twin Cities","ANSC 3509 is a course for undergraduates seeking a broad understanding of animal biotechnology in a single semester. The course covers the major concepts and principles of modern animal biotechnology. Topics include: genes and genomes, recombinant DNA technology, genetically modified foods and medicines, proteins as products, DNA fingerprinting and forensic analysis, bioremediation, aquatic biotechnology, medical biotechnology, and bioethics as it pertains to biotechnology. The course does not require any prerequisites and is targeted at students from all backgrounds and majors. We will discuss this history of biotechnology through current events. The laboratory component will focus on basic skills required in a molecular lab including aseptic technique, DNA extraction, pipetting, PCR, casting and running gels, data analysis, and guided bioinformatics lessons. The laboratory component will also teach molecular techniques necessary in forensic DNA fingerprinting, and how to gather DNA profiling data of individual animals to study population genetics. The course focuses primarily on the science biotechnology, but has strong components on ethics, policy, and society. For each topic, career paths are discussed, including how to prepare for careers in biotechnology fields.","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"ANTH","1001","Human Evolution","Twin Cities","What does it mean to be human? This question, central to the discipline of anthropology, has provided inspiration to scientists, philosophers, and artists for many centuries. In this course, we will begin to answer this question using the scientific study of the biological and cultural evolution of the human lineage. The first half of the term will introduce you to basic concepts in evolutionary theory: natural selection, genetics, behavioral ecology, and comparative anatomy. Using these tools, we will then spend the rest of the semester reconstructing the ecology, diet, anatomy, and behavior of our early ancestors, from the first apes to walk on two legs to the modern humans that conquered the globe. Weekly readings and lectures will provide the theoretical framework for understanding the evolutionary biology of Homo sapiens; laboratory sections will give you an opportunity to apply these theories and evaluate the fossil evidence for yourself. Through this combined approach, we will tackle such important questions as: What features define the human lineage? In what ecological setting did our ancestors become bipedal? What role did global climate change play in our evolution? How did tool use and cultural evolution feedback into our biological evolution? When and where did modern humans originate and what behaviors characterized this emergence? Why were there many species of humans in the past but only one today? Why is it important for the future of humanity for the average citizen to understand the principles of evolution as applied to the human animal? Upon completion of this course, you will have a broad knowledge of the role biological anthropology plays within the discipline of anthropology. More importantly, however, you will acquire a better understanding of the biological heritage of our species and our place among other forms of life on our planet.","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"ANTH","1001H","Honors: Human Evolution","Twin Cities","What does it mean to be human? This question, central to the discipline of anthropology, has provided inspiration to scientists, philosophers, and artists for many centuries. In this course, we will begin to answer this question using the scientific study of the biological and cultural evolution of the human lineage. The first half of the term will introduce you to basic concepts in evolutionary theory: natural selection, genetics, behavioral ecology, and comparative anatomy. Using these tools, we will then spend the rest of the semester reconstructing the ecology, diet, anatomy, and behavior of our early ancestors, from the first apes to walk on two legs to the modern humans that conquered the globe. Weekly readings and lectures will provide the theoretical framework for understanding the evolutionary biology of Homo sapiens; laboratory sections will give you an opportunity to apply these theories and evaluate the fossil evidence for yourself. Through this combined approach, we will tackle such important questions as: What features define the human lineage? In what ecological setting did our ancestors become bipedal? What role did global climate change play in our evolution? How did tool use and cultural evolution feedback into our biological evolution? When and where did modern humans originate and what behaviors characterized this emergence? Why were there many species of humans in the past but only one today? Why is it important for the future of humanity for the average citizen to understand the principles of evolution as applied to the human animal? Upon completion of this course, you will have a broad knowledge of the role biological anthropology plays within the discipline of anthropology. More importantly, however, you will acquire a better understanding of the biological heritage of our species and our place among other forms of life on our planet.

Prereq: honors","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Fall & Spring"
"BIOL","1001","Introductory Biology: Evolutionary and Ecological Perspectives","Twin Cities","A one-semester exploration of the genetic, evolutionary, and ecological processes that govern biological diversity from populations to ecosystems. We explore how these processes influence human evolution, health, population growth, and conservation. We also consider how the scientific method informs our understanding of biological processes. Lab. This course is oriented towards non-majors and does not fulfill prerequisites for allied health grad programs.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1001H","Introductory Biology I: Evolutionary and Ecological Perspectives","Twin Cities","A one-semester exploration of the genetic, evolutionary, and ecological processes that govern biological diversity from populations to ecosystems. We explore how these processes influence human evolution, health, population growth, and conservation. We also consider how the scientific method informs our understanding of biological processes. Lab. This course is oriented towards non-majors and does not fulfill prerequisites for allied health grad programs.","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Fall"
"BIOL","1003","Evolution and Biology of Sex","Twin Cities","This course is designed as a one-semester exploration of biology from the standpoint of the evolution and biology of sex. It emphasizes scientific processes, evolution, sexual behavior, reproductive biology, and diversity with respect to sexual orientation, reproductive strategies, and gender identity. Lab activities complement these topics. This course does not fulfill prerequisites for allied health grad programs.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1009","General Biology","Twin Cities","A comprehensive introduction to biology - includes molecular structure of living things, cell processes, energy utilization, genetic information and inheritance, mechanisms of evolution, biological diversity, and ecology. Includes lab. This comprehensive course serves as a prerequisite and requirement in many majors.

 ","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"BIOL","1009H","Honors: General Biology","Twin Cities","A comprehensive introduction to biology - includes molecular structure of living things, cell processes, energy utilization, genetic information and inheritance, mechanisms of evolution, biological diversity, and ecology. Includes lab. This comprehensive course serves as a prerequisite and requirement in many majors.","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Spring"
"BIOL","1012","Human Biology: Concepts and Current Ethical Issues","Twin Cities","One semester exploration of human anatomy and physiology within the context of ethics; topics such as human genetic diversity, organs and tissues, disease and reproduction. Weekly policy debates.  Active learning format. Animal dissections required. Suitable for students in any major. Must be taken in addition to BIOL 1009 to fulfill prerequisites for allied health grad programs.

This course explores several interdisciplinary questions, each of which addresses biology through an ethical and societal lens.  In “What makes humans unique?”, we will consider the evolution of human traits, how the concept of race relates to human genetic diversity, and the fallibility of human memories.  In “How does blood and organ donation work?”, we will examine how our bodies can recognize and respond to foreign materials, how vaccines work, and who should have access to life saving tissue and organ transplants.  In “How do stress, diet and exercise affect health?” ,we will consider disparities in access to adequate nutrition, exposure to stress, and exercise, and how these affect our bodies and our mental health.  Lastly, in “How does a unique individual develop from a single cell”, we will examine how a single cell develops into a fully functional human being, and how similar processes lead to cancer. We will also consider the role of genes and hormones in human reproduction and the development of reproductive structures in embryos, while explicitly addressing the ethics of the distinctions between the concepts of sex characteristics, sex assigned at birth, and gender. We will learn how a cell can become cancerous, as well as how a cell develops into a fully functioning human being.  Additionally, we will consider the role of hormones in the development of male, female, and intersex organs, while being explicit about the differences between gender, sexual orientation, and sex assigned at birth.  

In lecture, instructors and teaching assistants will support students as they evaluate data and work through concepts in teams. Students will also dedicate significant time to the consideration of ethical questions in human biology, and work with teammates to organize and present a position on a policy related to an ethics question. In lab, students will further explore human anatomy and physiology, connecting structure and function through several dissections and activities. Students will read and share scientific papers, make observations, design experiments and analyze data.  Students will work in teams to complete a multi-week project on the physiology of stress. We will continue our exploration of ethics topics in lab, where we will discuss and apply ethics in human subjects research and research on non-human animals.  

About ⅓ of the course grade will be based on four traditional lecture exams and a final lab exam. The remainder of the course grade is comprised of open notes quizzes, in class team assignments, individual assignments, and team projects. Course grading is based on mastery of concepts and skills, and students are encouraged to collaborate in understanding course material.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1015","Human Physiology, Technology, and Medical Devices","Twin Cities","Course is organized around homeostasis, information flow, and other concepts in physiology. For non-biology majors who wish to explore interests in health care or medical device engineering. Active learning format. Labs focus on data collection and simple organ dissections. Does not fulfill prerequisites for most biomedical graduate programs.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1055","Environmental Biology: Science and Solutions with Laboratory","Twin Cities","Explores science behind environmental topics. Delves into the interface of science and policy, environmental decision-making and ethics. Topics include biodiversity, env. toxicology, food production, and climate change. In lab students conduct the work of biologists, proposing hypotheses, conducting experiments, and analyzing/interpreting data. This course is intended to engage non-biology majors in the work of biology, studying current biological knowledge through evidence-based discussions of what is currently known, and by addressing science that is unknown to the students (and, at times to the biological community) through the generation and testing of hypotheses, collection and analysis of data, and practice of making data-informed conclusions.  

","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1951","Foundations of Biology Lecture I for Biological Sciences Majors","Twin Cities","BIOL 1951/1951H Foundations of Biology 1 is a course for College of Biological Sciences majors with an emphasis on evolution and genetics. Students develop essential scientific skills including exploring primary literature, formulating hypotheses, designing experiments, and evaluating data; in short they learn to think like biologists. The course emphasizes collaborative learning through team projects and activities, while building crucial academic competencies in communication, time management, organization, and critical thinking. Taught in an active-learning classroom, this course requires engaged participation.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"BIOL","1951H","Foundations of Biology Lecture I for Biological Sciences Majors","Twin Cities","BIOL 1951/1951H Foundations of Biology 1 is a course for College of Biological Sciences majors with an emphasis on evolution and genetics. Students develop essential scientific skills including exploring primary literature, formulating hypotheses, designing experiments, and evaluating data; in short they learn to think like biologists. The course emphasizes collaborative learning through team projects and activities, while building crucial academic competencies in communication, time management, organization, and critical thinking. Taught in an active-learning classroom, this course requires engaged participation.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"BIOL","1961","Foundations of Biology Lab I for Biological Sciences Majors","Twin Cities","In this course, students develop a variety of laboratory skills and learn to think critically about experiments and research. Students practice following prescribed protocols, developing testable questions, designing experiments, and communicating their findings. Students learn about multiple different research areas available within the course, and choose one area to specialize in for the second half of the semester. This course is followed by Biol 3004, where students do independent research in their chosen area of specialization. This course is required for all CBS majors.","2","2","No","1","2","A-F - A-F Grade Basis","-","Every Fall & Spring"
"BMEN","2501","Cellular and Molecular Biology for Biomedical Engineers","Twin Cities","Fundamentals of cellular and molecular biology. Chemistry of proteins, lipids, and nucleic acids. Applications to biomedical engineering. Function/dynamics of intracellular structures and differentiated animal cells. Application of physical/chemical fundamentals to modeling cellular/sub-cellular processes. Lecture/lab.

Recommended Prior Coursework: MATH1372 and PHYS1302W

Prereq: CSE Student","4","4","No","1","4","AFV - A-F or Audit","000355","Every Fall"
"CI","1512","Nature in the City","Twin Cities","Science and conservation of biodiversity in the Twin Cities. Ecology and evolution of species and communities adapted to urban environments. Socially responsible and culturally sensitive interventions to environmental problems.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Summer"
"ENT","1005","Insect Biology with Lab","Twin Cities","Insects represent one of the most abundant and diverse life forms on Earth, and their environmental importance is displayed across both terrestrial and aquatic ecosystems. Beyond environmental importance, insects shape human society through their impact on our health, the pollination of our food crops, and damage to our commodities and homes. Insect Biology is an introductory entomology course on the biology and ecology of insects, their classification, and their interactions with the environment and human society. This course will provide background on insect diversity and physiology while providing insight into how scientists examine the roles of insects in medicine, agriculture, advances in genetics, and ecology. These topics will provide fundamental biological knowledge needed to make informed decisions about insect-related topics in a global society.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"ESCI","1003","Dinosaurs and Our World","Twin Cities","Dinosaur evolution, ecology, and extinction. Evolution of modern ecosystems from the Mesozoic Era to the Anthropocene (and dinosaurs roles in that evolution). Human interactions with our environment and our roles as historic agents. Structure and function of biological forms, interpreting past life, and the social history of scientific inquiry.","4","4","No","1","4","OPT - Student Option","-","Every Spring"
"ESCI","1007","From Microbes to Mammoths: History of Life on Earth","Twin Cities","Scientific evidence from biology, paleontology, and geology for origin/evolution of life over 4.5 billion years of Earth's history. Biochemical basis of life, biogeochemical cycles, natural selection, origin of species, genetics, phylogeny reconstruction, timescales for evolution.","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"GEOG","1403","Biogeography of the Global Garden","Twin Cities","The geography of biodiversity and productivity, from conspicuous species to those that cause human disease and economic hardship. The roles played by evolution and extinction, fluxes of energy, water, biochemicals, and dispersal. Experiments demonstrating interactions of managed and unmanaged biotic with the hydrologic cycle, energy budgets, nutrient cycles, the carbon budget, and soil processes. ","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"GEOG","1403H","Honors: Biogeography of the Global Garden","Twin Cities","The geography of biodiversity and productivity, from conspicuous species to those that cause human disease and economic hardship. The roles played by evolution and extinction, fluxes of energy, water, biochemicals, and dispersal. Experiments demonstrating interactions of managed and unmanaged biotic with the hydrologic cycle, energy budgets, nutrient cycles, the carbon budget, and soil processes.

prereq: Honors","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Fall & Spring"
"HORT","1001","Plant Propagation","Twin Cities","Principles and techniques of propagating plants by seeds, cuttings, grafts, buds, layers, and division. Lectures on principles; labs on practice of various propagating techniques.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
