"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AFRO","3864","African American History: 1619 to 1865","Twin Cities","Importance of dynamics of class, gender, region, and political ideology. Changing nature of race/racism.","3","3","No","1","3","OPT - Student Option","-","Periodic Spring"
"AMES","3671","Hinduism and the Making of Modern India","Twin Cities","This course explores the role that Hinduism has played in Indian culture and politics the late 18th c. to the present, and the way that Hinduism itself has been transformed during this period.  In this course, we shall be guided by five overarching questions:
•	What are the key texts and everyday ritual practices of Hinduism, and how have these changed over the course of the last two centuries?  
•	What is the changing place of caste and especially the practice of untouchability in the understanding of what means to be a Hindu?  
•	What role do concerns about the role of women play in the religious reform movements and the emergence of new Hindu identities? 
•	What is the political role played by visions of Hinduism at and in different historical developments?  
By weaving together an analytical narrative centered around these four questions, we shall trace the remaking of Hinduism as a modern religion—one that wrestles with questions around nationalism, the public-private divide, the meaning of worship in a secular society, the relation with other religions, and equality of co-religionists.   ","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMST","1012","Migrants, Refugees, Citizens, and Exiles: The U.S. on an Immigrant Planet","Twin Cities","Immigration to the United States at various historical periods and across geographical/political terrains. How immigration, as a national/racial project, is shaped by legal categories and discursive practices based on race, class, gender, and sexuality. Diverse ways marginalized groups produce national/transnational political practices.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"AMST","2011","The United States since September 11","Twin Cities","How American citizenship and nationhood have changed since 9/11. The event and its aftermath in historical perspective. Political, economic, and military antecedents. How 9/11 has changed relations between the U.S. government, U.S. citizens, immigrants, and international community. How 9/11 has been remembered.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"ANSC","1011","Animals and Society","Twin Cities","This online course is designed for anyone interested in the ways in which we as a human society interact with, affect and are affected by non-human animals. Students will gain a broad understanding of the major ways in which humans use animals in contemporary society, including as food, as companions, as research subjects, and as entertainment. Other topics will include: social and ethical issues concerning animal use, the human-animal bond, animals in culture, and animals and the law.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"ARTS","1002","Art and Life: Thinking About Ethics Through Art","Twin Cities","Case examples from visual arts. Ethical theories. Philosophical take on relationship between art, life, ethics. ","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"BA","2005","Business Ethics, Corporate Responsibility & Sustainability","Twin Cities","This course seeks to give you the vocabulary necessary to describe and explain the ethical issues you will learn to identify through lectures, readings, and case studies. It will provide you with a decision-making framework that you can use to disentangle the most complicated scenarios, which will then allow you to use critical thinking and analysis to arrive at a decision on how you would respond as an individual in an ethically-defensible manner. This course will also anticipate your future career growth into positions of management and leadership, and will help give you the tools to manage people, money, and business affairs both effectively and ethically. 
BA 2005 was previously offered as Mgmt 1005","3","3","No","1","3","A-F - A-F Grade Basis","000011","Every Fall & Spring"
"BA","2005H","Business Ethics, Corporate Responsibility and Sustainability","Twin Cities","This course seeks to give you the vocabulary necessary to describe and explain the ethical issues you will learn to identify through lectures, readings, and case studies. You will be provided with a decision-making framework that you can use to disentangle the most complicated scenarios, which will then allow you to use critical thinking and analysis to arrive at a decision on how you would respond as an individual in an ethically-defensible manner. This course will also anticipate your future career growth into positions of management and leadership, and will help give you the tools to manage people, money, and business affairs both effectively and ethically. BA2005H was previously offered as MGMT1005H 

prereq: Honors student","3","3","No","1","3","A-F - A-F Grade Basis","000571","Every Spring"
"BIOL","1012","Human Biology: Concepts and Current Ethical Issues","Twin Cities","One semester exploration of human anatomy and physiology within the context of ethics; topics such as human genetic diversity, organs and tissues, disease and reproduction. Weekly policy debates.  Active learning format. Animal dissections required. Suitable for students in any major. Must be taken in addition to BIOL 1009 to fulfill prerequisites for allied health grad programs.

This course explores several interdisciplinary questions, each of which addresses biology through an ethical and societal lens.  In “What makes humans unique?”, we will consider the evolution of human traits, how the concept of race relates to human genetic diversity, and the fallibility of human memories.  In “How does blood and organ donation work?”, we will examine how our bodies can recognize and respond to foreign materials, how vaccines work, and who should have access to life saving tissue and organ transplants.  In “How do stress, diet and exercise affect health?” ,we will consider disparities in access to adequate nutrition, exposure to stress, and exercise, and how these affect our bodies and our mental health.  Lastly, in “How does a unique individual develop from a single cell”, we will examine how a single cell develops into a fully functional human being, and how similar processes lead to cancer. We will also consider the role of genes and hormones in human reproduction and the development of reproductive structures in embryos, while explicitly addressing the ethics of the distinctions between the concepts of sex characteristics, sex assigned at birth, and gender. We will learn how a cell can become cancerous, as well as how a cell develops into a fully functioning human being.  Additionally, we will consider the role of hormones in the development of male, female, and intersex organs, while being explicit about the differences between gender, sexual orientation, and sex assigned at birth.  

In lecture, instructors and teaching assistants will support students as they evaluate data and work through concepts in teams. Students will also dedicate significant time to the consideration of ethical questions in human biology, and work with teammates to organize and present a position on a policy related to an ethics question. In lab, students will further explore human anatomy and physiology, connecting structure and function through several dissections and activities. Students will read and share scientific papers, make observations, design experiments and analyze data.  Students will work in teams to complete a multi-week project on the physiology of stress. We will continue our exploration of ethics topics in lab, where we will discuss and apply ethics in human subjects research and research on non-human animals.  

About ⅓ of the course grade will be based on four traditional lecture exams and a final lab exam. The remainder of the course grade is comprised of open notes quizzes, in class team assignments, individual assignments, and team projects. Course grading is based on mastery of concepts and skills, and students are encouraged to collaborate in understanding course material.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","1101","Genetics and Society","Twin Cities","Principles of heredity and their social and cultural implications.

prereq: Credit will not be granted if credit has been received for: BIOL 3020, Biol 4003, GCD 3022. No CBS Major Juniors or Seniors.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
