"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AFRO","1131","Contemporary Issues in Africa","Twin Cities","While issues in Africa have been discussed widely, little attention is given to what African nations have achieved since their independence. The course critically questions the generally pessimistic international viewpoint on African economic prospects and emphasizes some of the continent’s national successes. This course examines the factors underlying contemporary issues in the continent, discussing Africa’s major challenges, including climate change, problems related to extractive industries, the brain drain, illicit capital flight, and the burden of debt. It outlines how challenges such as the migration of professionals and extractive industries could be turned into opportunities to transform the continent’s educational and health sectors and improve revenue at local levels by looking at case studies in which these problems have been at least partially overcome. The course uses data derived from cultural anthropology, geography, political sciences, and economics. 
","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall & Spring"
"AFRO","3013","Cities and States in Ancient Africa","Twin Cities","In this course, students will learn about the nexus between society and the environment, the underlining environmental issues that transformed ancient cities, and the implications they have on the contemporary ecological problems Africa is facing. The continent is endowed with a hugely diverse environment, ranging from desert to equatorial rainforest, as well as diverse cultures. Africa's various natural and cultural environments have played a part in shaping human activities, including agriculture, trade, and technology—which in turn have shaped the nature of the cities and states that have emerged across the continent. Technological innovations such as irrigation have allowed complex societies to develop and grow in an otherwise inhospitable desert climate with limited natural resources. Although the prevalence of animal diseases and all-year-round rainfall restricted surplus agricultural production by affecting the use of animals as a source of draft power and cultivation of cereal crops, advances in technology, including ironwork and adoption of the tropical rainforest crops, facilitated the transformation of the physical environment and emergence of cities and states in the rainforest. The course examines how the nature of early agriculture, the environment, and technology shaped the history of African societies to equip learners with a better understanding of the contemporary social and environmental challenges. It assesses the dynamism in the relation between African societies and the environment over time.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall, Spring & Summer"
"AFRO","3015","Food Sovereignty in Africa","Twin Cities","Course Description 
‘Food Sovereignty in Africa’ critically evaluates how the physical environment and historical processes  shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the  continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses  grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between  food security, indigenous knowledge, and environmental sustainability by comparing various  standpoints on African food production, scrutinizing the challenges the continent is facing and the  unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the  course examines how agricultural systems in Africa are affected by the new global land rush. After  taking the course, students will have better knowledge of emerging research directions on Africa and  will be equipped with sufficient research and practical skills to pursue independent studies beyond the  classroom.  

","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AFRO","5015","Food Sovereignty in Africa","Twin Cities","Food Sovereignty in Africa critically evaluates how the physical environment and historical processes shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between food security, indigenous knowledge, and environmental sustainability by comparing various standpoints on African food production, scrutinizing the challenges the continent is facing and the unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the course examines how agricultural systems in Africa are affected by the new global land rush. After taking the course, students will have better knowledge of emerging research directions on Africa and will be equipped with sufficient research and practical skills to pursue independent studies beyond the classroom.  ","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AGRO","1103","Crops, Environment, and Society","Twin Cities","Plants are used for food, fuel, and fiber to sustain humans across the globe. Where and how these plants are produced is determined by soil, weather, natural biodiversity, and human culture. In turn, agricultural production of plants shapes the natural environment and society. This class will provide students with an overview of crop production including the history of agriculture, food chemistry, and plant growth and physiology as it relates to agriculture. Students will evaluate crop production practices in terms of their economic, social, and environmental outcomes, and highlight tradeoffs and synergies among these outcomes. In the lab, students will receive hands-on experiences with field crops as they collect, analyze, and synthesize data from field experiments to inform decision-making in agriculture.","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"AMES","1256","Movies for Earth: Asia and the Environment","Twin Cities","This course offers an opportunity to contemplate our ecological future as a planet through film. Movies can change how we think and act for the purposes of environmental justice. In this course, we will examine ecological changes that have occurred over decades of habitat loss and climate change, and the reasons for the radical changes in our ecologies and how movies made in Asia interpret these impacts. We will watch and discuss popular and indie Asian films that address social and environmental precarity through the lens of various Asia-related landscapes, cities, people, and creatures. The UN Environmental Program reports that the Asia-Pacific is “the fastest-growing economic powerhouse in the world. This strong economic growth has lifted about 1 billion people out of extreme poverty since the turn of the century. It is home to 60% of the world’s total population and 70% of the world’s most populous cities [...]. However, the region’s resource-intensive growth has come at a high price and poses a significant threat to people’s well-being and the environment.” In this course, students will analyze the relationship of people to places and impacts on various environments and their denizens as a result of historical events, technological innovation, and cultural beliefs.

At the same time, we will examine the ways in which film technologies, film styles, and film genres impact how we think about social and ecopolitical issues. How does the medium convey the message? With each film, we will examine a different genre or film style and how it contributes to the ways in which environmental and cultural issues get framed. In other words, in this course students will explore environmental issues in Asia while also exploring the relevance of representation in addressing contemporary issues involving human and non-human denizens, culture, and ecopolitics. 

Finally, we will address the science behind these environmental issues. Scientific concepts to be explored include bioaccumulation and biomagnification in water bodies in East Asia; nuclear technology and its promises and politicization in East Asia; the role of dams in modernity and their impacts on places and people; the contribution of cement to CO2 emissions and new forms of cement being explored; how climate change manifests in distinct Asian territories—the mitigation practices for flooding and mudslides; fish protein as cultural food and its impact; the role of elephants in Asian culture; the use of trail cams in environmental biology; planned obsolescence and plastics and their impact in China; the role of popular culture including anime and social media in making change, and many other topics.  

This course is cross-disciplinary and ideal for students in Asian studies, geography, media studies, biology, or environmental studies.","3","3","No","1","3","OPN - Student Option No Audit","-","Periodic Fall & Spring"
"AMES","3468","Environment, Technology and Culture in Modern Japan","Twin Cities","Read/view historical, literary, visual texts to discover guiding ideas about nature, environment, technology use in Japan. No prior knowledge of Japan is necessary.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMIN","3312","American Indian Environmental Issues and Ecological Perspectives","Twin Cities","American Indian environmental issues in U.S./Canada. Analysis of social, political, economic, legal forces/institutions. Colonial histories/tribal sovereignty.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"ANSC","1903","Fork to Fine Dining: Food Systems and Sustainability in France","Twin Cities","This study abroad course examines the concepts of sustainability in relation to food production and culture in a country and place where food is a fundamental component of the regional and national culture. The course incorporates intercultural development concepts to introduce students to past and present French culture through the cultural importance of food systems, the ethics of food consumption, and production and the concepts of sustainability.

This course involves a study abroad component to France during spring break. Please note that you must also apply and confirm your spot for this seminar through the Learning Abroad Center. Application deadline is December 12. For more information, visit: https://umabroad.umn.edu/programs/europe/food-systems-france.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"ANTH","3037","Food Sovereignty in Africa","Twin Cities","""Food Sovereignty in Africa"" critically evaluates how the physical environment and historical processes shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between  food security, indigenous knowledge, and environmental sustainability by comparing various  standpoints on African food production, scrutinizing the challenges the continent is facing and the unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the  course examines how agricultural systems in Africa are affected by the new global land rush. After  taking the course, students will have better knowledge of emerging research directions on Africa and  will be equipped with sufficient research and practical skills to pursue independent studies beyond the  classroom.  
","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"ANTH","5037","Food Sovereignty in Africa","Twin Cities","Food Sovereignty in Africa critically evaluates how the physical environment and historical processes shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between food security, indigenous knowledge, and environmental sustainability by comparing various standpoints on African food production, scrutinizing the challenges the continent is facing and the unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the course examines how agricultural systems in Africa are affected by the new global land rush. After taking the course, students will have better knowledge of emerging research directions on Africa and will be equipped with sufficient research and practical skills to pursue independent studies beyond the classroom.  ","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"ARCH","4561","Architecture and Ecology","Twin Cities","Introduction to theories/practices of ecological approaches to architectural design. Ecological context, implications/opportunities of architecture. Historical/theoretical framework for ecological design thinking. Issues studied at various scales: site/community, building, component.","3","3","No","1","3","AFV - A-F or Audit","-","Every Spring"
"ARTH","3434","Art and the Environment","Twin Cities","Western art has a long tradition of depicting and directly engaging with the environment—from ancient earthworks such as Stonehenge and Avebury Stone Circle, to 18th and 19th century landscape paintings and 20th century photographs, to land and earth art of the 1960s and ‘70s, and what is now called environmental or eco art. Such art has had a prominent place in art’s history, but do we really need art to save the environment? Studies repeatedly show that the arts are crucial to understanding and forestalling environmental disaster because, it turns out, human attitudes are shaped by the stories we tell, by our ability to imagine the unimaginable, to accept the inanimate as potentially coming to life, to picture things on a vast scale. In this course students learn the historical development of artistic movements from 1968, when the first exhibition of such art, called “Earthworks,” took place at the Dwan Gallery in New York, up to the present day. The course tracks the changing aesthetic, political, and climatic forces that influenced such art, from the anti-institutionalism and participatory approaches of the 1960s to the more activist artistic engagement with environmentalism today. The class takes up two primary concerns: understanding the historical and scientific conditions that have given rise to such art and learning the ways in which artists have sought to intervene in and affect a changing environment. Students put historical knowledge, environmental research, and visual analysis skills to work in a culminating group project creating art that responds to a contemporary environmental problem.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AST","1001","Exploring the Universe","Twin Cities","The human place in the Universe. Study of Earth, other planets, sun, stars, galaxies. Background and fragility of life on Earth. Scale, origin, history of universe and our relationship to it.","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"AST","1011H","Exploring the Universe, Honors","Twin Cities","Human place in universe. Earth, other planets, sun, stars, galaxies. Background/fragility of life on Earth. Scale, origin, history of universe, our relationship to it. Honors version of 1001.

prereq: High school trigonometry, [high school physics or chemistry]","4","4","No","1","4","A-F - A-F Grade Basis","000585","Every Fall & Spring"
"BBE","4001","Chemistry of Biomass and Biomass Conversion to Fuels and Products","Twin Cities","Chemistry of biomass and its sustainable utilization for biofuels and bioproducts, including bio-based materials. Chemicals/energy and their environmental implications within the context of chemical principles and associated reactions underlying the structure, properties, processing, and performance of plant materials.

prereq: Chem 2301 or Chem 1082 or instructor consent","3","3","No","1","3","AFV - A-F or Audit","012590","Every Fall"
"BIOL","1052","Environmental Biology: Science and Solutions","Twin Cities","This course explores the science behind environmental topics. It delves into the interface of science and policy, environmental decision-making and ethics. Topics include biodiversity, environmental toxicology, food production, and global climate change. Students looking to fulfill the liberal education requirement-Biological Sciences with Lab in this topic should take Biology 1055.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"BIOL","1055","Environmental Biology: Science and Solutions with Laboratory","Twin Cities","Explores science behind environmental topics. Delves into the interface of science and policy, environmental decision-making and ethics. Topics include biodiversity, env. toxicology, food production, and climate change. In lab students conduct the work of biologists, proposing hypotheses, conducting experiments, and analyzing/interpreting data. This course is intended to engage non-biology majors in the work of biology, studying current biological knowledge through evidence-based discussions of what is currently known, and by addressing science that is unknown to the students (and, at times to the biological community) through the generation and testing of hypotheses, collection and analysis of data, and practice of making data-informed conclusions.  

","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"CEGE","1501","Environmental Issues and Solutions","Twin Cities","You will explore a range of environmental challenges and their potential solutions, including climate change, water pollution, air pollution, renewable energy, resource depletion, and biodiversity loss, social justice, equity, ethical responsibilities. You will study the causes, consequences, and solutions while gaining hands-on experience through weekly laboratory sessions where you will work in groups, focusing on environmental monitoring, data collection, and analysis to assess environmental parameters and understand real-world applications. You will participate in engaging field trips to the Hennepin Energy Recovery Center, Eloise Butler Wildflower Garden and Bird Sanctuary, and two local lakes and/or the Mississippi River during your lab sessions. By the end of the course, you will be equipped with the knowledge, skills, and ethical awareness necessary to contribute meaningfully to the ongoing dialogue on environmental sustainability and solutions. 

Join us as this course is  designed for all majors. 

This course satisfies the Liberal Education requirements of Physical Sciences with Lab Core and The Environment Theme.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"CEGE","3501","Introduction to Environmental Engineering","Twin Cities","A quantitative approach to environmental problems, including the development of mass and energy balances and the application of fundamental principles of environmental chemistry and microbiology. Meets the University of Minnesota's liberal education environment theme through the incorporation of environmental function, problems, and solutions throughout the course.

prereq: Chem 1071 or equivalent, Phys 1302 or equivalent, Math 1372 or equivalent","3","3","No","1","3","AFV - A-F or Audit","012990","Every Fall & Spring"
"CFAN","3516","Sustainable Food Systems of Italy","Twin Cities","This course examines the concepts of sustainability in relation to food production and culture in a country and place where food is a fundamental component of the regional and national culture. The course incorporates intercultural development concepts to introduce students to past and present Italian culture through the cultural importance of food systems, the ethics of food consumption and production and the concepts of sustainability.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring & Summer"
"CFAN","3522","Sustainable Akumal: Turtles, tourists, cenotes and coral reefs","Twin Cities","This Global Campus Partner seminar addresses coastal and marine ecology as affected by tourism and development and how these affect local communities. We will explore these issues in Akumal (Mayan: place of the turtle), Mexico on the Riviera Maya. Tourism and associated development have expanded exponentially in the past decade with subsequent effects on waste management and water quality in the local cenotes, groundwater, lagoons and reefs.  In addition to the water quality effects, increased use by tourist is also directly affecting sea grass, turtles and coral reefs.  We will explore the ecology of these systems, methods to assess their status and impacts, and strategies to reduce or mitigate the effects in a sustainable manner that involves local populations.

Prereq: CFAN 3422","3","3","No","1","3","A-F - A-F Grade Basis","011209","Fall Even, Spring Odd Year"
"CFAN","3527","Chile: Natural History of Patagonia","Twin Cities","Co-production of sustainable knowledge: An exploration of human-wildlife conflict and a community artistic expression in southern Chile

Conservation biology addresses the tradeoffs inherent in balancing human needs for extractable ecosystem goods and services with our need for biodiversity and natural conditions. Our discussions always include the biophysical science of ecosystems and the human resource science of decisions. This class engages you directly in understanding and communicating about sustainable resource management in Patagonia, the fabulously beautiful, highly diverse, end-of-the-word in South America. You will explore mountainous and marine landscapes, places where you will (at least hope to see) Elephant seals, Mountain Lions, Emperor Penguins, Guanacos, and Patagonian Foxes. You also will encounter invasive rabbits and beavers, gigantic salmon aquaculture opens and an open pit mine. You will work with local community members to develop a permanent mural depicting all that. And you wll work with peers to develop a video documenting your experience.

Humans have inhabited Patagonia for at last 14,000 years. For thousands of years, the nomadic Aónikenk people were the principal humans in the landscape. The technologically superior Mapuche people were predominant during the 1500s; Europeans (primarily Spanish and English) colonized the area from the mid-1500s; Chile has been an independent country since 1826. The economy of the area has been dominated by mining and agriculture. Mining extracts minerals and low quality coal. Agriculture includes sheep ranching as well as large scale marine salmon aquaculture. Sheep ranching resulted in thousands of miles of barbed wire fence, and millions of hectares of degraded grasslands, with associated negative impacts on wildlife. Wool prices were strong from the late 1800s through the mid 1950s, then dropped precipitously. As a result, many sheep estnacias were abandoned or turned into tourist lodges. Patagonia today is a land of expansive landscapes of mountains, grasslands, glaciers and high altitude lakes. The wildlife characteristic of the area include all Guanacos (a South American camel), the Huemel deer, Patagonian fox, hog nosed skunk and Andean Condor. Native marine life include penguins, elephant seals, leopard seals, and the Patagonian skate.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
