"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AFRO","1009","History of Women in Africa: 1500 to the Present","Twin Cities","This course examines the histories of women on African frontiers. The course will highlight the role of women in their relation with family, with other African/nonAfrican peoples, as well as the role of women of the border regions of Sahel-Savanna, SavannaForest, within the country of Morocco, and along the Indian Ocean-Swahili Coast and Atlantic Coast frontiers. AFRO 1009 will compare the roles of African women from specific regions to others in different times and places in Africa, as well as with their contemporaries in Asia, Europe, and the Americas. We will consider the ways in which the women under scrutiny played a critical role in the dynamic changes that transformed their worlds and the worlds around
them. Indeed, the historical lens that informs and underpins this course is premised on the understanding that people make change and that change does not just happen in and of itself. In recognizing the process of change over time, AFRO 1009 emphasizes the significance of social
and cultural context in shaping the extent and nature of women’s participation in these processes. Therefore, the course will seek to understand the cultural beliefs and the rich ethnic, economic, religious networks, which buttressed the women’s roles and examine their associated factors. In
addition to stressing the importance of change over time, AFRO 1009 engages students in a reflection of the past in an attempt to understand those reflections within the continuum of past, present, and future. Accordingly, AFRO 1009 impels us to think about the long term effects of
any change, however slight or insignificant it may seem.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","1021","Introduction to Africa","Twin Cities","Through a close engagement with selected oral, visual, audio-visual, and written sources, this course interrogates the representation of Africa as a failed and passive site, hopelessly mired in poverty and ill-equipped to face the challenges of the 21st century. Using the lens of gender as a critical category, the course specifically considers the ways in which African women have distinguished themselves in the areas of politics, the economy, culture, education, and other fields. The historical lens that informs and underpins this course is premised on the understanding that people make change, and that change does not just happen in and of itself. In recognizing the process of change over time, AFRO 1021 demonstrates that African women have played a pivotal role in the dynamic changes that have transformed the continent and its diverse societies. More importantly, African women have always defined and carried out their own struggles, always been on the frontline of agitating for socio-economic and political reforms, and always played critical leadership roles in their families, communities, and civil society. In addition to stressing the importance of change over time, AFRO 1021 engages students in a reflection of the past to understand those reflections within the continuum of past, present, and future.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"AFRO","1903","China-Africa Contemporary Relations","Twin Cities","China's ascendancy as an economic and political global power has been the subject of much scholarly and political debate. Specifically, China's renewed interest in Africa continues to beg the question, what is China's Africa strategy or Africa-China strategy? Some scholars have suggested that China's strategic interests in Africa are purely economic, more specifically, resource extraction and exploitation, which has led to renewed concerns of neo-colonialism! Other questions that have been raised include how this engagement will benefit the African countries engaged with China. This course seeks to examine/explore these issues and better understand how China's engagement in Africa may have lasting consequences for the continent's future. ","3","3","No","1","3","AFV - A-F or Audit","001475","Every Fall"
"AFRO","3002","West African History: 1800 to Present","Twin Cities","West African history from late 18th century to present. Past/profound changes including new 19th century state formation, European colonialism, post-colonial issues.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"AFRO","3016","Africa and African Diaspora Archaeology","Twin Cities","Africa and African Diaspora Archaeology (AFRO/ ANTH 3016/5016) examines the evolution of human behavior in Africa and looks at subsequent social, cultural, and technological developments as shown in archaeological records including artifacts, ecofacts, rock art, and structures at archaeological sites. It also discusses methods used to identify archaeological records and how these records can be used to reconstruct past ways of life. Students will obtain hand-on-experience in identifying, classifying, and interpreting archaeological objects. The course covers Africa from around 2.6 million years ago to the recent past, focusing primarily on the last 10,000 years. It examines the development and spread of food production, pottery, metallurgy, trade, and African connections with the Atlantic world dating back to the fifteenth century. 
","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","3103","World History and Africa","Twin Cities","This course is an interdisciplinary survey of the history of the African continent. It examines the social, cultural, economic and political transformations that shaped varied African communities from prehistory to the present. Focusing primarily on the intricate intersection of culture, society, economics, and politics, the course examines the concept of “world history” and Africa’s location in the production of this history as theoretical and analytical lenses. It puts particular emphasis on the social, cultural and political developments that informed individual and collective experiences of various African peoples and societies, including the historical narratives and scholarly discourses associated with them.

","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall, Spring & Summer"
"AFRO","3120","Social and Intellectual Movements in the African Diaspora","Twin Cities","Political, cultural, historical linkages between Africans, African-Americans, African-Caribbean. Black socio-political movements/radical intellectual trends in late 19th/20th centuries. Colonialism/racism. Protest organizations, radical movements in United States/Europe.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall"
"AFRO","3205","History of South Africa from 1910: Anti-Racism, Youth Politics, Pandemics & Gender (Based Violence)","Twin Cities","We are all living in extraordinary times. But what does that mean? In South Africa, we have seen the COVID-19 pandemic and the measures implemented to control it causing massive social upheaval and personal distress. It has forced the people in the country to confront issues that life prior to the pandemic had made easy to turn away from. Misogyny, gender based violence, and sexual violence, a long-standing emergency in the south of Africa, have been forced into our vision once again. It was not the pandemic that created this violence. Nor was it the first time people had been outraged by a lack of action to address it. In the years approaching 2020, calls, protests and demonstrations were increasingly demanding the culture of impunity in gender based violence be ended; sometime with violent outcomes against the protestors themselves. Over those same years, nationwide protests have rocked South Africa's university campuses. The student movements known as #RhodesMustFall, #FeesMustFall and #RUReferenceList highlight the contrasts and disappointments of the recent past in South Africa, confront the legacy of racism and misogyny in its institutions and knowledge systems, and resonate with a history of anti-racism and struggle that now, in turn, similarly fuel the on-going Black Lives Matter and #MeToo movements worldwide.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall"
"AFRO","3431","Early Africa and Its Global Connections","Twin Cities","Survey of African history from earliest times to 1800. Focuses on socioeconomic, political, and cultural development in pre-colonial Africa from ancient Egypt through the era of the trans-Atlantic slave trade.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AFRO","3432","Modern Africa in a Changing World","Twin Cities","Socioeconomic, political, and cultural development in Africa, from abolition of trans-Atlantic slave trade through postcolonial era.","3","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"AFRO","3433","Economic Development in Contemporary Africa","Twin Cities","Major socio-economic challenges that confront post-independence sub-Saharan African countries in quest for sustainable economic development/growth. Causes of persistent poverty/inequality, role of institutions/multinational agencies. Growth in 21st century.

prereq: APEC 1101 or ECON 1101","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AFRO","3434","Images of Africa","Twin Cities","Major themes in African history, from early human development to present.  History of western ""knowledge"" about Africa. Assumptions that have influenced production of African history. Extent to which African history is ""packaged"" for public consumption inside/outside Africa. How history is used to support modern political agendas.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AFRO","3435","Political Dynamics in the Horn of Africa","Twin Cities","Who wields political power? Who challenges those in power? And how do they legitimize their claims and go about enforcing them? These are the core questions that will guide our exploration of the political dynamics in the Horn of Africa. Just like most regions in Africa, the Horn is home to diverse cultures and languages. What distinguishes it, however, is the contested nature of state borders, which have been redrawn in ways not observed anywhere else in Africa since the end of European colonialism. The purpose of this class is to delve deeper into these conflicts, to examine the interactions between incumbent governments, armed rebel groups and international actors in shaping war and peace in the Horn. Throughout this journey, we will pay special attention to ideas of sovereignty, identity and violence and draw on literature outside of the Horn to help us better dissect what is going on within it. ","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"AFRO","3654","African Cinema","Twin Cities","This course introduces you to films written and directed by African filmmakers beginning the 2nd part of the 20th Century. Through an exploration of the stylistic and thematic issues raised by each film, it is expected that students will gain a broad understanding of how African filmmakers portray African social and cultural life, including the artistic and political contexts within which they work. In this way, students will gain an historical perspective on the origins of African filmmaking, confront the basic social, cultural, and aesthetic questions raised by African filmmakers and critics, and consider how questions raised by African filmmakers and their films fit into the larger context of world cinema. We will contrast postcolonial African films with Hollywood jungle epics, settler/adventure romances in safari paradise, and colonial movies about Africa. Moving beyond strict categories and standards we will also examine the role of documentary films in shaping our understanding of African people's lives and the social construction of reality. We will review the place of documentary film in the current media-scape and discuss its functions and limitations. Most films will be screened in original languages with English subtitles.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Summer"
"AFRO","3681","Black Central & Nordic Europe","Twin Cities","Europe is constantly associated with whiteness, yet Black people have existed in Northern and Central Europe (the contemporary spaces known as Germany, Austria, the Netherlands, Belgium, and Scandinavia) for centuries. To counter this imagined whiteness, students will be reading histories and Black authors' experiences in these nations. A closer investigation will show that Black people have been traveling to Europe (willingly and unwillingly) for centuries. While Afro-Europeans remain at the margins of these nations, they find avenues to survive and thrive in the face of microaggressions and racism. As the semester progresses, we will examine the following questions: What is daily life like in a majority white country? In what ways are these authors included or excluded from national discourses? What ways do they bring attention to anti-Blackness in their local contexts? How do they define home and belonging? These questions will help us understand the imagined citizens of Central Europe and the people trying to tear these false images down.","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AFRO","5016","Africa and African Diaspora Archaeology","Twin Cities","Africa and African Diaspora Archaeology (AFRO/ ANTH 3016/5016) examines the evolution of human behavior in Africa and looks at subsequent social, cultural, and technological developments as shown in archaeological records including artifacts, ecofacts, rock art, and structures at archaeological sites. It also discusses methods used to identify archaeological records and how these records can be used to reconstruct past ways of life. Students will obtain hand-on-experience in identifying, classifying, and interpreting archaeological objects. The course covers Africa from around 2.6 million years ago to the recent past, focusing primarily on the last 10,000 years. It examines the development and spread of food production, pottery, metallurgy, trade, and African connections with the Atlantic world dating back to the fifteenth century. ","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AGRO","3305","Agroecosystems of the world","Twin Cities","Explore four different areas of world (Minnesota, Morocco, Nepal, Costa Rica) by networking with locals on ground in each region through online interactions. Food, agriculture, environment. Biophysical/socio-cultural aspects of agroecosystems through unique multi-disciplinary lens.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AHS","3001","Health and Medicine in India in a Social and Cultural Context","Twin Cities","Students are required to attend two pre-orientations, travel to India on the global seminar, and complete a project and presentation upon their return to the United States.

prereq: instr consent","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AHS","3002","Global Health in Thailand - Humans, Elephants, and Disease","Twin Cities","	
Global Health in Thailand is a Global Seminar that travels to Chiang Mai, Thailand to examine the relationship between human, animal, and environmental health through the One Health approach. The course travels to Thailand over winter break and then meets for the first half of Spring semester. For more information, see the Learning Abroad Center website.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AHS","3003","Sustainable Approaches to Health in France","Twin Cities","A wide range of factors influences health status in a country including politics, economics, culture, history and the systems that provide structure and process in country.  As the global world developed the 2030 Sustainable Development Goals (SDGs) framework, we have seen an increase in innovative strategies by countries to meet the 2030 goals, with France emerging as a leader in their efforts. The 2030 Sustainable Development Goals are framed by five categories: planet, people, prosperity, peace, and partnership.  France has made some innovative efforts to move the needle in each of these categories. For example, France is leading the way with food security, having introduced a new international strategy for food security, nutrition, and sustainable agriculture in October 2019.  From public health and healthcare systems to food safety and security, the extensive challenges require collaboration, coordination, and an interprofessional approach to be successful.

According to writer Kim Ann Zimmerman, “The culture and underlying values in France are distinctly different from the US. The French believe in égalité, which means equality, and is part of the country's motto: ""Liberté, Egalité, Fraternité."" Many say they place a higher importance on equality than liberty and fraternity, the other two words in the motto.”  We will explore how France’s history, culture, and underlying values affect health, health disparities and systems that influence health, healthcare and SDGs","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AHS","3004","Health in Ecuador: History, Environment, & Culture","Twin Cities","During the first half of the spring semester at the University of Minnesota, students will learn about the challenges and opportunities of addressing the United Nations Sustainable Development Goals in Ecuador while comparing and contrasting with the US and/or Minnesota. Students will work in teams who will be tasked to focus on a perspective of a Sustainable Development Goal throughout the semester. Students will also learn very basic Spanish words and phrases in preparation for time in Ecuador. Through taking and learning about the Intercultural Development Inventory and cultural development and reflection activities including Observe, Describe, Interpret, and Evaluate (ODIE), students will learn more about their own cultures while preparing to openly experience cultures in Ecuador.  

During their time abroad, students will have the opportunity to apply the knowledge learned in the early spring semester to observations and experiences in Ecuador. The teams will ask questions during site visits from their assigned SDG perspective in preparation for their final project on SDGs in Ecuador. Site visits will include a visit to Colonial Quito and the Mitad del Mundo City Museum. Students will visit an urban and rural health center, the CINCA Agroecological Center, the San Clemente Pukyu Pamba project featuring an indigenous community where they will share a meal with the community. Students will also participate in an indigenous healing ceremony. Finally students will visit Pambilino, a Bosque Escuela, located in  the northwest of Ecuador near the community of Mashpi, a nature reserve of the Choco rainforest that has a 4 hectare permaculture farm in the North Occidental of Ecuador, nestled within the tropical foothills of Ecuador. They work to teach sustainable agroforestry techniques to those that want to learn on the Bosque-escuela.

Upon returning to Minnesota, the students will participate in re-entry activities, present their final project, and have a final class debrief. Students will complete reflective journal entries throughout the semester and a final personal reflection on SGDs in Ecuador compared and contrasted to Minnesota/USA.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AHS","3005","Modern Medicine Through History in Greece","Twin Cities","Greece is known for its rich history, beautiful landscapes, ancient civilization, and cultural contributions to the world. It is often referred to as the birthplace of western civilization and holds a prominent place in history due to its influence on philosophy, democracy, art, architecture, medicine, and more. Ancient Greece made significant contributions to the field of medicine, laying the foundation for modern medical practices and theories. In addition to its historical significance, Greece boasts a rich cultural heritage evident in its traditional music, dance, art, and cuisine. Greece, like many other countries worldwide, aligns its policies and initiatives with the United Nations Sustainable Development Goals (SDGs). These goals, established in 2015, aim to address global challenges, including health, poverty, inequality, climate change, environmental degradation, peace, and justice.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AMES","1001","Asian Film and Animation","Twin Cities","Various film styles within Asian film/animation production. Ways of analyzing film. Work of 20th-century directors in Asia.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1201","Arrow, Fist, and Sword: Conceptions of the Hero in Asian Cultures","Twin Cities","Concepts of the ""hero"" in Persian, Indian Chinese, Korean, and Japanese cultures: How did various societies in these countries define the ethos of the ""hero"" and his relationship to the community? How did versions of the hero change over time, and how was the hero redefined in the context of modern nationalism? What part have traditional gender roles played in defining the hero and is a ""female"" hero possible within these traditions? And how has popular film allowed modern Asian societies to reinterpret their traditional conceptions of the hero? Specific explorations: the Persian hero Rostam in The Book of Kings; Rama and retellings of the Indian Ramayana; Mulan and the Chinese female warrior; the Korean hero Hong Gildong; and the Japanese story of the forty-seven ronin.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1351","Chinese Martial Arts Cinema","Twin Cities","Martial arts cinema may be China's most globally popular as well as most culturally distinctive form of film making. With origins in traditional Chinese popular literature and a cinematic history going back to the silent film era, the genre has experienced multiple periods of popularity both in China since the 1920s and in the West since the 1960s-70s. This course will look at Chinese martial arts cinema with these learning goals in mind:
- To learn the distinctive film style of the genre by discussing basic film techniques such as cinematography, editing, and performance.
- To use martial arts films to explore deeper aspects of Chinese culture such as philosophy, religion, and ethics.
- To see how the development of martial arts cinema reflected trends in modern Chinese history, including the tension between nationalism and globalism.
We will watch films from the pre-1949 Republic of China, the post-1949 People's Republic of China, Hong Kong during the British colonial period, and Taiwan. Each week students will have one film to watch streaming as homework and a reading assignment usually totaling 20-30 pages. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","1456","Japanese Film and Animation","Twin Cities","This course offers an introduction to the history of moving images in Japanese film and animation from 1945 to the present as a method for understanding how one nation's film culture has contributed to global political, social, and ecological movements. Students learn how Japanese cinema has been an essential contributor to the development of global film genres and cultures. This course fulfills the Global Perspective because it illustrates the rich history of Asian cinema in a global mediascape. Students will learn how moving images from Asia provide important perspectives on global social, political, and environmental issues. Upon completion of the course, students will be able to use their new skills in film and animation interpretation to analyze media in their daily lives. They will have tools for critical analysis of dominant Western and Hollywood media forms. 

Students will analyze films from multiple angles, engaging in a multi-optic analysis.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1806","Modern Middle Eastern Cultures and Societies","Twin Cities","What we commonly and monolithically refer to as “the Middle East” in fact consists of many different individual nation-states, each with their own particular historical trajectory and a combined population of half a billion people encompassing a plethora of religious faiths, political orientations, social formations, and varied identities. This course provides a starting point for comprehending this frequently misunderstood part of the world, the diverse peoples who inhabit it, and the myriad cultures they practice. We will address the various problems we encounter when approaching such an unwieldy concept as “the Middle East,” key moments that have shaped modern Middle Eastern cultures and societies, and examples of how cultural production functions in the context of modern Middle Eastern history and politics.","3","3","No","1","3","OPN - Student Option No Audit","-","Periodic Fall & Spring"
"AMES","1836","Modern Middle Eastern Literature","Twin Cities","This course introduces students to the diversity of contemporary Middle Eastern cultures, identities, and histories through readings in modern literature. Reading novels, stories, poetry, and memoirs translated from Arabic, Hebrew, Persian, and Turkish, we will follow a number of key concerns shaping Middle Eastern cultural production: legacies of colonialism and the manner they shaped the relationship between classical and modern literary forms, the ethical and aesthetic challenges of bearing testimony to violence, and the manner literature reflects and subverts racial hierarchies, ethnic divisions, and gender dynamics. These themes will be debated in a range of spaces and contexts: the desert, the city, and the ocean as quintessential environments in times of great social and ecological upheavals; migration flows and refugee identities; the alternating banality and grotesqueness of war; and the formation of intimate, personal relationships. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
