"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3862","American Immigration History","Twin Cities","Global migrations to U.S. from Europe, Asia, Latin America, and Africa, from early 19th century to present. Causes/cultures of migration. Migrant communities, work, and families. Xenophobia, assimilation/integration, citizenship, ethnicity, race relations. Debates over immigration. Place of immigration in America's national identity.","3","3","No","1","3","AFV - A-F or Audit","-","Every Spring"
"AAS","3877","Asian American History, 1850 to Present","Twin Cities","Asian American history and contemporary issues, from 1850 to present. Immigration, labor, anti-Asian movements, women/families, impact of World War Two, new immigrant/refugee communities, civil rights, Asian American identity/culture.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AFRO","3016","Africa and African Diaspora Archaeology","Twin Cities","Africa and African Diaspora Archaeology (AFRO/ ANTH 3016/5016) examines the evolution of human behavior in Africa and looks at subsequent social, cultural, and technological developments as shown in archaeological records including artifacts, ecofacts, rock art, and structures at archaeological sites. It also discusses methods used to identify archaeological records and how these records can be used to reconstruct past ways of life. Students will obtain hand-on-experience in identifying, classifying, and interpreting archaeological objects. The course covers Africa from around 2.6 million years ago to the recent past, focusing primarily on the last 10,000 years. It examines the development and spread of food production, pottery, metallurgy, trade, and African connections with the Atlantic world dating back to the fifteenth century. 
","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","3103","World History and Africa","Twin Cities","This course is an interdisciplinary survey of the history of the African continent. It examines the social, cultural, economic and political transformations that shaped varied African communities from prehistory to the present. Focusing primarily on the intricate intersection of culture, society, economics, and politics, the course examines the concept of “world history” and Africa’s location in the production of this history as theoretical and analytical lenses. It puts particular emphasis on the social, cultural and political developments that informed individual and collective experiences of various African peoples and societies, including the historical narratives and scholarly discourses associated with them.

","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall, Spring & Summer"
"AFRO","3120","Social and Intellectual Movements in the African Diaspora","Twin Cities","Political, cultural, historical linkages between Africans, African-Americans, African-Caribbean. Black socio-political movements/radical intellectual trends in late 19th/20th centuries. Colonialism/racism. Protest organizations, radical movements in United States/Europe.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall"
"AFRO","3205","History of South Africa from 1910: Anti-Racism, Youth Politics, Pandemics & Gender (Based Violence)","Twin Cities","We are all living in extraordinary times. But what does that mean? In South Africa, we have seen the COVID-19 pandemic and the measures implemented to control it causing massive social upheaval and personal distress. It has forced the people in the country to confront issues that life prior to the pandemic had made easy to turn away from. Misogyny, gender based violence, and sexual violence, a long-standing emergency in the south of Africa, have been forced into our vision once again. It was not the pandemic that created this violence. Nor was it the first time people had been outraged by a lack of action to address it. In the years approaching 2020, calls, protests and demonstrations were increasingly demanding the culture of impunity in gender based violence be ended; sometime with violent outcomes against the protestors themselves. Over those same years, nationwide protests have rocked South Africa's university campuses. The student movements known as #RhodesMustFall, #FeesMustFall and #RUReferenceList highlight the contrasts and disappointments of the recent past in South Africa, confront the legacy of racism and misogyny in its institutions and knowledge systems, and resonate with a history of anti-racism and struggle that now, in turn, similarly fuel the on-going Black Lives Matter and #MeToo movements worldwide.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall"
"AFRO","3431","Early Africa and Its Global Connections","Twin Cities","Survey of African history from earliest times to 1800. Focuses on socioeconomic, political, and cultural development in pre-colonial Africa from ancient Egypt through the era of the trans-Atlantic slave trade.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AFRO","3432","Modern Africa in a Changing World","Twin Cities","Socioeconomic, political, and cultural development in Africa, from abolition of trans-Atlantic slave trade through postcolonial era.","3","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"AFRO","3434","Images of Africa","Twin Cities","Major themes in African history, from early human development to present.  History of western ""knowledge"" about Africa. Assumptions that have influenced production of African history. Extent to which African history is ""packaged"" for public consumption inside/outside Africa. How history is used to support modern political agendas.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AFRO","3864","African American History: 1619 to 1865","Twin Cities","Importance of dynamics of class, gender, region, and political ideology. Changing nature of race/racism.","3","3","No","1","3","OPT - Student Option","-","Periodic Spring"
