"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","4311","Asian American Literature and Drama","Twin Cities","Literary/dramatic works by Asian American writers. Historical past of Asian America through perspective of writers such as Sui Sin Far and Carlos Bulosan. Contemporary artists such as Frank Chin, Maxine Hong Kingston, David Henry Hwang, and Han Ong. Political/historical background of Asian American artists, their aesthetic choices.","3","3","No","1","3","AFV - A-F or Audit","-","Fall Odd Year"
"AMES","1201","Arrow, Fist, and Sword: Conceptions of the Hero in Asian Cultures","Twin Cities","Concepts of the ""hero"" in Persian, Indian Chinese, Korean, and Japanese cultures: How did various societies in these countries define the ethos of the ""hero"" and his relationship to the community? How did versions of the hero change over time, and how was the hero redefined in the context of modern nationalism? What part have traditional gender roles played in defining the hero and is a ""female"" hero possible within these traditions? And how has popular film allowed modern Asian societies to reinterpret their traditional conceptions of the hero? Specific explorations: the Persian hero Rostam in The Book of Kings; Rama and retellings of the Indian Ramayana; Mulan and the Chinese female warrior; the Korean hero Hong Gildong; and the Japanese story of the forty-seven ronin.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1836","Modern Middle Eastern Literature","Twin Cities","This course introduces students to the diversity of contemporary Middle Eastern cultures, identities, and histories through readings in modern literature. Reading novels, stories, poetry, and memoirs translated from Arabic, Hebrew, Persian, and Turkish, we will follow a number of key concerns shaping Middle Eastern cultural production: legacies of colonialism and the manner they shaped the relationship between classical and modern literary forms, the ethical and aesthetic challenges of bearing testimony to violence, and the manner literature reflects and subverts racial hierarchies, ethnic divisions, and gender dynamics. These themes will be debated in a range of spaces and contexts: the desert, the city, and the ocean as quintessential environments in times of great social and ecological upheavals; migration flows and refugee identities; the alternating banality and grotesqueness of war; and the formation of intimate, personal relationships. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3336","Revolution and Modernity in Chinese Literature and Culture","Twin Cities","Introduction to modern Chinese literature, visual culture, and critical thought from beginning of 20th century to end of Mao era. Examples of literature/culture, parallel readings of Chinese critical essays. Readings are in English translation.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3337","Contemporary Chinese Literature and Popular Culture","Twin Cities","Contemporary Chinese literature, popular culture. End of Mao era to present. Creative results of China's ""opening and reform."" Commercialization and globalization of culture. Literature, visual culture, and popular music.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3433","Traditional Japanese Literature in Translation","Twin Cities","Survey of texts in different genres, from 8th to early 19th centuries, with attention to issues such as ""national"" identity, gender/sexuality, authorship, popular culture. No knowledge of Japanese necessary.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall & Spring"
"AMES","3436","Postwar Japanese Literature in Translation","Twin Cities","This is an introductory survey of modern Japanese literature and its role in the postwar  debates around Japanese culture, aesthetics, politics, and environment. Beginning with the occupation of Japan by the US military and ending with the 2020 Tokyo Olympics (postponed by a global pandemic), students will analyze the main movements in postwar Japanese literary production and the core issues featured in this literature. We will explore national genres in Japan, their premodern precursors, and postmodern manifestations. The course has no prerequisite and assumes no prior knowledge of Japanese cultures or experience with literary analysis. All materials, lectures, and discussions are in English.
","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","3437","The Japanese Novel","Twin Cities","Survey of the principal authors of the period spanning Japan's opening to the West (1860s) to World War II. Writers include Natsume Soseki, Shiga Naoya, Kawabata Yasunari, Edogawa Rampo, Hayashi Fumiko, and Tanizaki Junichiro.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3536","Modern Korean Literature","Twin Cities","Modern Korean literature in English translation from the colonial period until the 1990s. Read literary texts critically, using genre categories, theories of narrative voice, different understandings of modern literary subjectivity, and historical contextualization. ","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","3832","The Politics of Arabic Poetry","Twin Cities","This course engages with Arabic poetry in its socio-political context. How have Arab poets from the
pre-Islamic era till the present time used their verse as a tool to affirm the structure of their society, or to
struggle with it? What roles did Arabic poetry play at the Abbasid imperial courts? How does Arabic
poetry participate in the constitution and promulgation or subversion of political ideologies? And what
presence has it had in Arab peoples' struggles for independence or reform, historically and today as part
of the Arab Spring?","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
