"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AST","1001","Exploring the Universe","Twin Cities","The human place in the Universe. Study of Earth, other planets, sun, stars, galaxies. Background and fragility of life on Earth. Scale, origin, history of universe and our relationship to it.","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"AST","1011H","Exploring the Universe, Honors","Twin Cities","Human place in universe. Earth, other planets, sun, stars, galaxies. Background/fragility of life on Earth. Scale, origin, history of universe, our relationship to it. Honors version of 1001.

prereq: High school trigonometry, [high school physics or chemistry]","4","4","No","1","4","A-F - A-F Grade Basis","000585","Every Fall & Spring"
"CEGE","1501","Environmental Issues and Solutions","Twin Cities","You will explore a range of environmental challenges and their potential solutions, including climate change, water pollution, air pollution, renewable energy, resource depletion, and biodiversity loss, social justice, equity, ethical responsibilities. You will study the causes, consequences, and solutions while gaining hands-on experience through weekly laboratory sessions where you will work in groups, focusing on environmental monitoring, data collection, and analysis to assess environmental parameters and understand real-world applications. You will participate in engaging field trips to the Hennepin Energy Recovery Center, Eloise Butler Wildflower Garden and Bird Sanctuary, and two local lakes and/or the Mississippi River during your lab sessions. By the end of the course, you will be equipped with the knowledge, skills, and ethical awareness necessary to contribute meaningfully to the ongoing dialogue on environmental sustainability and solutions. 

Join us as this course is  designed for all majors. 

This course satisfies the Liberal Education requirements of Physical Sciences with Lab Core and The Environment Theme.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"CHEM","1015","Introductory Chemistry: Lecture","Twin Cities","Matter/energy, atoms, compounds, solutions, chemical reactions, mole/chemical calculations, gases, liquids, solids, chemical bonding, atomic/molecular structure, acids, bases, equilibria. Physical/chemical properties of hydrocarbons and organic compounds. Problem solving.

Effective fall 2024, CHEM 1015 is no longer a prerequisite to CHEM 1061/1081/1071. 

CHEM 1015 should only be completed by students whose major requires this course and or any student who is taking the course to fulfill the Physical Liberal Education requirement.

CHEM 1015 will meet in-person.

Concurrent enrollment in CHEM 1017 lab is required. You must enroll in CHEM 1017 first.

Consult with your advisor with any questions or contact the Chemistry department at chemfaq@umn.ed","3","3","No","1","3","OPT - Student Option","013080","Every Fall, Spring & Summer"
"CHEM","1017","Introductory Chemistry: Laboratory","Twin Cities","Organic chemistry. Matter/energy, atoms, compounds, solutions, chemical reactions, mole/chemical calculations, gases, liquids, solids, chemical bonding, atomic/molecular structure, acids, bases, equilibria. Physical/chemical properties of hydrocarbons and organic compounds containing halogens, nitrogen, or oxygen. Problem solving.

CHEM 1017 is a 1-credit lab-only course. 

This course is intended for students who need to take CHEM 1015/1017 for their major course requirement and for students who are taking the course to fulfill the Physical Science/Lab requirement.

This course will  fulfill the Physical Science/Lab core requirement, when taken with CHEM 1015 concurrently.","1","1","No","1","1","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"CHEM","1061","Chemical Principles I","Twin Cities","Atomic theory, periodic properties of elements. Thermochemistry, reaction stoichiometry. Behavior of gases, liquids, and solids. Molecular/ionic structure/bonding. Organic chemistry and polymers. energy sources, environmental issues related to energy use.

prereq: Math placement of MATH 1151 or grade of at least C- in MATH 1031 or 1051 or CI 1806

Concurrent registration is required in 1065; registration for 1065 must precede registration for 1061","3","3","No","1","3","OPT - Student Option","003603","Every Fall, Spring & Summer"
"CHEM","1062","Chemical Principles II","Twin Cities","Chemical kinetics. Radioactive decay. Chemical equilibrium. Solutions. Acids/bases. Solubility. Second law of thermodynamics. Electrochemistry/corrosion. Descriptive chemistry of elements. Coordination chemistry. Biochemistry.

prereq: Grade of at least C- in 1061 or equiv, concurrent registration is required (or allowed) in 1066; registration for 1066 must precede registration for 1062","3","3","No","1","3","OPT - Student Option","003604","Every Fall, Spring & Summer"
"CHEM","1065","Chemical Principles I Laboratory","Twin Cities","Basic laboratory skills while investigating physical and chemical phenomena closely linked to lecture material. Experimental design, data collection and treatment, discussion of errors, and proper treatment of hazardous wastes.

prereq: concurrent registration is required (or allowed) in 1061, 1071, 1071H, 1081","1","1","No","1","1","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"CHEM","1066","Chemical Principles II Laboratory","Twin Cities","Basic laboratory skills while investigating physical and chemical phenomena closely linked to lecture material. Experimental design, data collection and treatment, discussion of errors, and proper treatment of hazardous wastes.

prereq: concurrent registration is required (or allowed) in 1062","1","1","No","1","1","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"CHEM","1071","General Chemistry I for Physical Scientists and Engineers","Twin Cities","Advanced introduction to atomic theory. Periodic properties of elements. Behavior of gases, liquids, and solids. Molecular/ionic structure, bonding. Aspects of organic chemistry, spectroscopy, and polymers. Mathematically demanding quantitative problems. Writing for scientific journals.

Prereq: Math placement of MATH 1271 OR grade of at least C- in MATH 1151 or 1155

Concurrent registration is required in 1065; registration for 1065 must precede registration for 1071","3","3","No","1","3","A-F - A-F Grade Basis","003603","Every Fall & Spring"
