"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","1101","Imagining Asian America","Twin Cities","What are the histories, cultures, and experiences of Asian Americans, the fastest-growing group in the United States? How do they fit into the U.S.'s history of immigration, race, and citizenship? Is the ""model minority"" myth really true? This course is an introduction to Asian American Studies, an interdisciplinary field that uses ethnography, literature, histories, films, memoirs, and other texts to study how the history of Asian immigration to the United States has visibly shaped existing Asian American communities and identities, and how ""Asian America"" is central to a more general understanding of American popular culture and public life.

The course is roughly organized chronologically. We will first begin with an introduction to the field of Asian American Studies by asking the questions: What is Asian America? What is Asian American Studies? We will then examine important concepts, categories, and processes before exploring the rich history of Asian migration to the United States and contemporary issues facing Asian Americans today. 

One of the core principles of this course is to encourage active and interdisciplinary learning. This means that we will be learning in a variety of ways to explore and understand the material (reading, writing, watching, listening, seeing, discussing, presenting). We will be drawing from a wide range of disciplines (history, law, sociology, education, cultural studies, psychology, etc.). And we will be using a variety of materials (memoir, scholarly articles, historical documents, government records, newspapers, films, photographs, popular culture, etc.) Your active participation in these activities is essential.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","1201","Racial Formation and Transformation in the United States","Twin Cities","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation,” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. As a class, we will explore what it means to treat race as a social construct and also a central organizing principle shaping patterns of power and inequality. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. Together we will reckon with the role of institutions in conditioning the material realities of racialized groups, while also recognizing the capacity of racialized groups to resist regimes of racial power.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AAS","3001","Contemporary Perspectives on Asian America","Twin Cities","Interdisciplinary overview of Asian American identities. Post-1965 migration/community. History, cultural productions, and concerns of Americans of Chinese, Japanese, Korean, South Asian, Filipino, and Southeast Asian ancestry.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","3301","Asian America Through Arts and Culture","Twin Cities","Americans of Asian descent comprise one of the fastest-growing racial groups in the U.S. today. While large numbers of Asian Americans have been in the U.S. since the middle of the nineteenth century, it is only in the past few decades that they have been widely recognized in art, culture, and media. This course focuses on how writing, art, performance, film, and/or other works of culture registers the experiences of Asian Americans past and present. How do individual artists or writers depict themselves and others as part of families, communities, or nations? How do questions of race, racism, family, identity, immigration, labor, citizenship, inequality, gender, sexuality, media stereotypes, and activism affect the perspectives and the creative choices in these works?","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AAS","3341","Asian American Images","Twin Cities","From 19th-century anti-Chinese political cartoons to Harold and Kumar, visual representations of Asians in the United States have long influenced how Asian Americans are seen and treated. What are some of the ways that photography, graphic arts, and digital culture have pictured Asian Americans as aliens, citizens, immigrants, workers, family and community members, entertainers, and artists? Course topics will relate visual images to particular historical moments, including the early exclusion period and the ""yellow peril"" stereotype; WWII Japanese American incarceration and the drawings of Miné Okubo, and photo-journalism documenting U.S. military involvement in Southeast Asia and its aftermath. How do photographic and other images work to counter historical amnesia, heal traumatic loss, and document social injustice? Other weeks of the class will explore the ways that individuals, families, and communities use photographs, video, and other visual media to preserve a sense of connection and belonging. We will also look at how contemporary Asian American photographers such as Tseng Kwong Chi, Nikki Lee, and Wing Young Huie experiment with visual images to raise questions of racial and national identity, social inequality, gender, sexuality, and political agency. The course also includes a digital storytelling project that encourages students to create video images and sound reflecting Asian American immigration stories from local communities.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3351","Asian Americans and Popular Culture","Twin Cities","Over the past few decades, Asian Americans have become increasingly visible both as the subjects and producers of popular culture in the United States. This course will explore how this new recognition of Asian Americans in popular literature, cinema, television, and entertainment is related both to longer histories of Asian immigration and racial exclusion and to post-1960s efforts to forward racial awareness, community activism, and social justice. Our first unit will look at how particular stereotypes such as the yellow peril or the wartime enemy encouraged anti-Asian feeling and violence and legal restrictions on immigration and naturalization. We will then examine how throughout history, Asian immigrants and their descendants used song, dance, theater, writing, and other forms of popular culture to express personal desires and foster collective ties. Our final unit concentrates on contemporary popular culture and its relationship to the changing identities of Asian Americans. How do Asian Americans influence the current essays, films, and videos that are consumed by millions today? How are increasingly pan-ethnic, interracial, multiracial, transnational, and global experiences reflected in popular culture?","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3503","Asian American Identities, Families, & Communities","Twin Cities","This course provides a sociological overview of Asian American identities, families and communities. To place these experiences within a broader historical, structural, and cultural context the course will begin with a brief introduction to the history of Asians and Asian Americans in the United States and sociological theories about incorporation and racial stratification. We will then examine the diversity of Asian American communities and families, highlighting ethnic, gender, and class variations. Other topics of focus include racialization and discrimination, education, ethnic enclaves, family and intergenerational relationships, identity, media, culture, and politics and social action. Throughout the course we will consider the ways in which society affects individuals, and how in turn, individuals affect society. Students will have an option to do community-engaged learning or another course project.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Spring"
"AAS","3862","American Immigration History","Twin Cities","Global migrations to U.S. from Europe, Asia, Latin America, and Africa, from early 19th century to present. Causes/cultures of migration. Migrant communities, work, and families. Xenophobia, assimilation/integration, citizenship, ethnicity, race relations. Debates over immigration. Place of immigration in America's national identity.","3","3","No","1","3","AFV - A-F or Audit","-","Every Spring"
"AAS","3877","Asian American History, 1850 to Present","Twin Cities","Asian American history and contemporary issues, from 1850 to present. Immigration, labor, anti-Asian movements, women/families, impact of World War Two, new immigrant/refugee communities, civil rights, Asian American identity/culture.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AAS","4311","Asian American Literature and Drama","Twin Cities","Literary/dramatic works by Asian American writers. Historical past of Asian America through perspective of writers such as Sui Sin Far and Carlos Bulosan. Contemporary artists such as Frank Chin, Maxine Hong Kingston, David Henry Hwang, and Han Ong. Political/historical background of Asian American artists, their aesthetic choices.","3","3","No","1","3","AFV - A-F or Audit","-","Fall Odd Year"
"AECM","4115","Culturally Responsive Engagement in Agriculture, Food & Natural Resources","Twin Cities","The course is broken up into five thematic and progressive modules. Module 1 will provide the opportunity for students to investigate contemporary and historical manifestations oppression and inequities within Agricultural, Food and Natural Resource Sciences (AFNR) with a special focus on community and educational spaces. Module 2 will support students to explore oppression, power, privilege, and white supremacy. Students will explore how these show in society at large, as well as how they personally embody and enact these very things. Module 3 will prompt students to consider the nature of knowledge that is legitimized and knowledge that is suppressed. We will then learn about diverse knowledge systems and decolonizing work. Module 4 will support students to explore culture, identity, intersectionality, and positionality – their own and those of other cultural groups. We will consider how some cultures are lifted while others are marginalized in different spaces. Module 5 brings us to learning about methods of bring culturally responsive and anti-racist in AFNR work in educational and community spaces. We will employ the use of equity audits to assess various organizations and to design plans moving forward.","3","3","No","2","6","A-F - A-F Grade Basis","-","Every Spring"
