"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","1101","Imagining Asian America","Twin Cities","What are the histories, cultures, and experiences of Asian Americans, the fastest-growing group in the United States? How do they fit into the U.S.'s history of immigration, race, and citizenship? Is the ""model minority"" myth really true? This course is an introduction to Asian American Studies, an interdisciplinary field that uses ethnography, literature, histories, films, memoirs, and other texts to study how the history of Asian immigration to the United States has visibly shaped existing Asian American communities and identities, and how ""Asian America"" is central to a more general understanding of American popular culture and public life.

The course is roughly organized chronologically. We will first begin with an introduction to the field of Asian American Studies by asking the questions: What is Asian America? What is Asian American Studies? We will then examine important concepts, categories, and processes before exploring the rich history of Asian migration to the United States and contemporary issues facing Asian Americans today. 

One of the core principles of this course is to encourage active and interdisciplinary learning. This means that we will be learning in a variety of ways to explore and understand the material (reading, writing, watching, listening, seeing, discussing, presenting). We will be drawing from a wide range of disciplines (history, law, sociology, education, cultural studies, psychology, etc.). And we will be using a variety of materials (memoir, scholarly articles, historical documents, government records, newspapers, films, photographs, popular culture, etc.) Your active participation in these activities is essential.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","1201","Racial Formation and Transformation in the United States","Twin Cities","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation,” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. As a class, we will explore what it means to treat race as a social construct and also a central organizing principle shaping patterns of power and inequality. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. Together we will reckon with the role of institutions in conditioning the material realities of racialized groups, while also recognizing the capacity of racialized groups to resist regimes of racial power.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AAS","3503","Asian American Identities, Families, & Communities","Twin Cities","This course provides a sociological overview of Asian American identities, families and communities. To place these experiences within a broader historical, structural, and cultural context the course will begin with a brief introduction to the history of Asians and Asian Americans in the United States and sociological theories about incorporation and racial stratification. We will then examine the diversity of Asian American communities and families, highlighting ethnic, gender, and class variations. Other topics of focus include racialization and discrimination, education, ethnic enclaves, family and intergenerational relationships, identity, media, culture, and politics and social action. Throughout the course we will consider the ways in which society affects individuals, and how in turn, individuals affect society. Students will have an option to do community-engaged learning or another course project.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Spring"
"AFRO","1201","Racial Formation and Transformation in the United States","Twin Cities","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AFRO","3015","Food Sovereignty in Africa","Twin Cities","Course Description 
‘Food Sovereignty in Africa’ critically evaluates how the physical environment and historical processes  shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the  continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses  grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between  food security, indigenous knowledge, and environmental sustainability by comparing various  standpoints on African food production, scrutinizing the challenges the continent is facing and the  unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the  course examines how agricultural systems in Africa are affected by the new global land rush. After  taking the course, students will have better knowledge of emerging research directions on Africa and  will be equipped with sufficient research and practical skills to pursue independent studies beyond the  classroom.  

","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AFRO","3433","Economic Development in Contemporary Africa","Twin Cities","Major socio-economic challenges that confront post-independence sub-Saharan African countries in quest for sustainable economic development/growth. Causes of persistent poverty/inequality, role of institutions/multinational agencies. Growth in 21st century.

prereq: APEC 1101 or ECON 1101","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AFRO","3435","Political Dynamics in the Horn of Africa","Twin Cities","Who wields political power? Who challenges those in power? And how do they legitimize their claims and go about enforcing them? These are the core questions that will guide our exploration of the political dynamics in the Horn of Africa. Just like most regions in Africa, the Horn is home to diverse cultures and languages. What distinguishes it, however, is the contested nature of state borders, which have been redrawn in ways not observed anywhere else in Africa since the end of European colonialism. The purpose of this class is to delve deeper into these conflicts, to examine the interactions between incumbent governments, armed rebel groups and international actors in shaping war and peace in the Horn. Throughout this journey, we will pay special attention to ideas of sovereignty, identity and violence and draw on literature outside of the Horn to help us better dissect what is going on within it. ","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"AFRO","5015","Food Sovereignty in Africa","Twin Cities","Food Sovereignty in Africa critically evaluates how the physical environment and historical processes shaped agricultural productivity in Africa, as well as exploring the subsequent relationship the continent has had with the rest of the world. The course uses multi-disciplinary resources to examine historical factors that have contributed to contemporary food security issues, and discusses grassroots food movements that embrace the ethics and values of African societies in their efforts to  achieve both food security and environmental sustainability. It also examines the interplay between food security, indigenous knowledge, and environmental sustainability by comparing various standpoints on African food production, scrutinizing the challenges the continent is facing and the unique perspectives it offers in terms of agricultural development in the globalized world. Finally, the course examines how agricultural systems in Africa are affected by the new global land rush. After taking the course, students will have better knowledge of emerging research directions on Africa and will be equipped with sufficient research and practical skills to pursue independent studies beyond the classroom.  ","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AMIN","1201","Racial Formation and Transformation in the United States","Twin Cities","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation,” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMST","1101","Imagining Asian America","Twin Cities","What are the histories, cultures, and experiences of Asian Americans, the fastest-growing group in the United States? How do they fit into the U.S.'s history of immigration, race, and citizenship? Is the ""model minority"" myth really true? This course is an introduction to Asian American Studies, an interdisciplinary field that uses ethnography, literature, histories, films, memoirs, and other texts to study how the history of Asian immigration to the United States has visibly shaped existing Asian American communities and identities, and how ""Asian America"" is central to a more general understanding of American popular culture and public life.

The course is roughly organized chronologically. We will first begin with an introduction to the field of Asian American Studies by asking the questions: What is Asian America? What is Asian American Studies? We will then examine important concepts, categories, and processes before exploring the rich history of Asian migration to the United States and contemporary issues facing Asian Americans today.

One of the core principles of this course is to encourage active and interdisciplinary learning. This means that we will be learning in a variety of ways to explore and understand the material (reading, writing, watching, listening, seeing, discussing, presenting). We will be drawing from a wide range of disciplines (history, law, sociology, education, cultural studies, psychology, etc.). And we will be using a variety of materials (memoir, scholarly articles, historical documents, government records, newspapers, films, photographs, popular culture, etc.) Your active participation in these activities is essential.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall"
