"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AFRO","3578","Contemporary Sub-Saharan African Popular Art Forms","Twin Cities","This course explores popular art practices and representations – mediated through the lens of television, radio, popular cinema, sequential art, and the internet – as the everyday expressions of modern African identities. As sites where the tensions, frictions, collisions and notably, the productive creativities of the local and the global are circulated, negotiated and contested, African popular cultures provide insights into a unique and increasingly crucial facet of contemporary African artistic practice as critical intervention. The course is designed on the premise that Africans of all social strata and lifestyles are strategic and deliberate consumers of popular cultural forms, generated within local cultures as signifiers of larger social, political, and economic processes. In light of prevailing studies which sometimes end up naively celebrating agency and resistance, AFRO 3578 underscores the role of popular cultures as public/private sites of power's ideological and material (re-) production, contestation, or transformation. It considers creative practices as sites of both resistance and accommodation; of creative adaptation, innovation, and resilience. Through our discussion of communication technologies and their role in transmitting artistic and political ideas beyond the confines of dominant discourses and established institutions, we will evaluate the interface of technology and sociocultural shifts.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"ANSC","3509","Animal Biotechnology","Twin Cities","ANSC 3509 is a course for undergraduates seeking a broad understanding of animal biotechnology in a single semester. The course covers the major concepts and principles of modern animal biotechnology. Topics include: genes and genomes, recombinant DNA technology, genetically modified foods and medicines, proteins as products, DNA fingerprinting and forensic analysis, bioremediation, aquatic biotechnology, medical biotechnology, and bioethics as it pertains to biotechnology. The course does not require any prerequisites and is targeted at students from all backgrounds and majors. We will discuss this history of biotechnology through current events. The laboratory component will focus on basic skills required in a molecular lab including aseptic technique, DNA extraction, pipetting, PCR, casting and running gels, data analysis, and guided bioinformatics lessons. The laboratory component will also teach molecular techniques necessary in forensic DNA fingerprinting, and how to gather DNA profiling data of individual animals to study population genetics. The course focuses primarily on the science biotechnology, but has strong components on ethics, policy, and society. For each topic, career paths are discussed, including how to prepare for careers in biotechnology fields.","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"ARCH","3511","Material Transformations: Technology and Change in the Built Environment","Twin Cities","Surveys development of significant architectural material technologies/their relationships to society/natural environment.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall"
"ARTH","3315","The Age of Curiosity: Art, Science & Technology in Europe, 1400-1800","Twin Cities","Diverse ways in which making of art and scientific knowledge intersected in early modern Europe. Connections between scientific curiosity and visual arts in major artists (e.g., da Vinci, Durer, Vermeer, Rembrandt). Artfulness of scientific imagery/diagrams, geographical maps, cabinets of curiosities, and new visual technologies, such as the telescope and microscope.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"ARTH","5315","The Age of Curiosity: Art, Science & Technology in Europe, 1400-1800","Twin Cities","Diverse ways in which making of art and scientific knowledge intersected in early modern Europe. Connections between scientific curiosity and visual arts in major artists (e.g., da Vinci, Durer, Vermeer, Rembrandt). Artfulness of scientific imagery/diagrams, geographical maps, cabinets of curiosities, and new visual technologies, such as the telescope and microscope.","3","3","No","1","3","OPT - Student Option","000238","Periodic Fall & Spring"
"BBE","1002","Biorenewable Resources","Twin Cities","In this course you will gain a basic understanding of what biorenewable resources are and the benefits and challenges that biorenewable materials provide. You will learn how to evaluate the environmental impact of various material choices and the technical and economic implications of these options.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"BBE","1201","Renewable Energy, Climate Change, Society, and the Environment","Twin Cities","There is a growing sense of national and global urgency regarding carbon and climate change with particular emphasis on our energy system. Unfortunately, the answers are not simple. In this course, students explore our wide range of traditional and renewable energy sources and how these options impact our environment and society. Students are also exposed to the complex and compelling ethical issues raised by global, national, and local changes in how we produce and use energy. This course informs and engages students to be thoughtful, rather than passive consumers of energy. Students gain the knowledge necessary to be articulate in career, community, and personal arenas regarding renewable energy resources. In addition, students develop the ability to evaluate and respond to present and future technological changes that impact their energy use in the workplace, at home, and in the community. This course was designed and offered as an online course since 2011. ","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"BBE","4733","Renewable Energy Technologies","Twin Cities","This course provides fundamentals of and yet in-depth discussion on the current and emerging technologies for renewable energy production and application. This course focuses heavily on energy conversion technologies and their efficiency. Advantages and limitations of each type of renewable energy, current and probable future developments in technologies will be addressed. Impact of renewable energy on environment, economy, society, policy, and sustainable development will also be discussed. Students will learn the basic principles and quantitative analysis of various renewable energy technologies, such as biomass/biofuel, solar thermal energy, solar photovoltaic, wind energy, and hydropower, and use of renewable energy, current and future developments in renewable energy technologies, policy, techno-economic analysis, and life cycle analysis. Prerequisites:  Upper div CSE or instr consent.","3","3","No","1","3","AFV - A-F or Audit","000503","Every Spring"
"BIOL","1015","Human Physiology, Technology, and Medical Devices","Twin Cities","Course is organized around homeostasis, information flow, and other concepts in physiology. For non-biology majors who wish to explore interests in health care or medical device engineering. Active learning format. Labs focus on data collection and simple organ dissections. Does not fulfill prerequisites for most biomedical graduate programs.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"BIOL","3025","Molecular Biology and Society","Twin Cities","An in-depth analysis of molecular biology topics and methods related to the Central Dogma of modern biology. This course is open to both CBS majors and non-CBS majors. Prerequisites include Biol2003/2003H or [Biol1009/1009H AND Chem1061/1061H].","3","3","No","1","3","OPT - Student Option","011971","Every Fall & Spring"
