TERM,TERM_DESCR,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,A,7,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,A-,3,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,B,3,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,B+,5,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,B-,2,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,F,2,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3211W,001,LEC,Race & Racism in the U.S.,W,4,Enid Logan,elogan,AAS 3211W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",A,12,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",A-,1,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",B+,1,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",B-,2,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",C,1,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",C+,2,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3251W,001,LEC,"Race, Class, and Gender",F,1,Enid Logan,elogan,AAS 3251W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,A,5,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,A-,3,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,B+,2,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,C-,1,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,F,1,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,AAS,3409W,001,DIS,Asian American Women Culture,W,1,Jigna Desai,desai003,AAS 3409W
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A,23,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A-,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B+,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B-,2,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,F,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,302,LEC,Career Search for Profl Envt,A,26,Alyssa Maples,mapl0009,ABUS 3051
