TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A,26,7,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A-,26,3,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B,26,3,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B+,26,5,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B-,26,2,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,F,26,2,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,W,26,4,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A,20,12,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A-,20,1,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B+,20,1,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B-,20,2,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",C,20,1,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",C+,20,2,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",F,20,1,PI,"Logan,Enid",Associate Professor,FA,elogan
1233,Spr 2023,UMNTC,UMNTC,AAS,3409W,1,DIS,Asian American Women Culture,A,13,5,PI,"Desai,Jigna",Professor,FA,desai003
1233,Spr 2023,UMNTC,UMNTC,AAS,3409W,1,DIS,Asian American Women Culture,A-,13,3,PI,"Desai,Jigna",Professor,FA,desai003
1233,Spr 2023,UMNTC,UMNTC,AAS,3409W,1,DIS,Asian American Women Culture,B+,13,2,PI,"Desai,Jigna",Professor,FA,desai003
1233,Spr 2023,UMNTC,UMNTC,AAS,3409W,1,DIS,Asian American Women Culture,C-,13,1,PI,"Desai,Jigna",Professor,FA,desai003
