CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNDL,AAAS,1103,001,Introduction to Africa,A,9,Chang'aa Mweti,cmweti,1243,AAAS 1103
UMNDL,AAAS,1103,001,Introduction to Africa,A-,1,Chang'aa Mweti,cmweti,1243,AAAS 1103
UMNDL,AAAS,1103,001,Introduction to Africa,B+,2,Chang'aa Mweti,cmweti,1243,AAAS 1103
UMNDL,AAAS,1103,001,Introduction to Africa,C-,2,Chang'aa Mweti,cmweti,1243,AAAS 1103
UMNDL,AAAS,3305,001,African American Cinema,A,6,David Woodward,dwoodwa1,1243,AAAS 3305
UMNDL,AAAS,3305,001,African American Cinema,B,2,David Woodward,dwoodwa1,1243,AAAS 3305
UMNDL,AAAS,3305,001,African American Cinema,B+,1,David Woodward,dwoodwa1,1243,AAAS 3305
UMNDL,AAAS,3305,001,African American Cinema,B-,1,David Woodward,dwoodwa1,1243,AAAS 3305
UMNDL,AAAS,3305,001,African American Cinema,D,1,David Woodward,dwoodwa1,1243,AAAS 3305
UMNDL,AAAS,3305,001,African American Cinema,W,1,David Woodward,dwoodwa1,1243,AAAS 3305
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A,16,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A-,4,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B+,1,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B-,1,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,C,1,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3211W,001,Race & Racism in the U.S.,C-,1,Ethan Johnson,,1243,AAS 3211W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",A,9,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",A-,6,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",B,6,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",B+,4,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",B-,1,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",C-,1,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",F,2,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3251W,001,"Race, Class, and Gender",W,1,Enid Logan,elogan,1243,AAS 3251W
UMNTC,AAS,3409W,001,Asian American Women Culture,A,8,Melanie Abeygunawardana,abey,1243,AAS 3409W
UMNTC,AAS,3409W,001,Asian American Women Culture,A-,1,Melanie Abeygunawardana,abey,1243,AAS 3409W
UMNTC,AAS,3409W,001,Asian American Women Culture,B+,3,Melanie Abeygunawardana,abey,1243,AAS 3409W
UMNTC,AAS,3409W,001,Asian American Women Culture,F,1,Melanie Abeygunawardana,abey,1243,AAS 3409W
UMNTC,AAS,3409W,001,Asian American Women Culture,S,1,Melanie Abeygunawardana,abey,1243,AAS 3409W
UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,23,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,B,4,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,F,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,24,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,A-,5,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,B,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,B-,2,Carol Klempka,cklempka,1243,ABUS 3051
