INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,TERM,FULL_NAME
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A,27,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A-,6,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,B,6,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,B+,2,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,B-,3,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,C,2,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,C+,1,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,C-,1,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,F,2,David Woodward,dwoodwa1,1253,AAAS 1101
UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,A,9,Chang'aa Mweti,cmweti,1253,AAAS 1103
UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,A-,1,Chang'aa Mweti,cmweti,1253,AAAS 1103
UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,B,2,Chang'aa Mweti,cmweti,1253,AAAS 1103
UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,B+,2,Chang'aa Mweti,cmweti,1253,AAAS 1103
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A,15,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A-,2,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B,3,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B+,2,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,C-,2,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,W,1,Laura Garbes,garbes,1253,AAS 3211W
UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A,15,Mao Lee,,1253,AAS 3251W
UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",C+,1,Mao Lee,,1253,AAS 3251W
UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",D,1,Mao Lee,,1253,AAS 3251W
UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",F,1,Mao Lee,,1253,AAS 3251W
UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",W,2,Mao Lee,,1253,AAS 3251W
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,A,8,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,A-,1,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,C+,1,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,C-,1,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,F,2,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3301,001,Asian Amer thru Arts Culture,N,1,Rupa Thadhani,thadh001,1253,AAS 3301
UMNTC,UMNTC,AAS,3409W,001,Asian American Women Culture,A,10,Cahya Yunizar,yuniz001,1253,AAS 3409W
UMNTC,UMNTC,AAS,3409W,001,Asian American Women Culture,B,1,Cahya Yunizar,yuniz001,1253,AAS 3409W
UMNTC,UMNTC,AAS,3409W,001,Asian American Women Culture,S,3,Cahya Yunizar,yuniz001,1253,AAS 3409W
UMNTC,UMNTC,AAS,3875W,001,US Comparative Race/Ethnicity,A,12,Yuichiro Onishi,ohni0001,1253,AAS 3875W
UMNTC,UMNTC,AAS,3875W,001,US Comparative Race/Ethnicity,A-,3,Yuichiro Onishi,ohni0001,1253,AAS 3875W
UMNTC,UMNTC,AAS,3875W,001,US Comparative Race/Ethnicity,B+,2,Yuichiro Onishi,ohni0001,1253,AAS 3875W
UMNTC,UMNTC,AAS,3877,001,Asian American History,A,4,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,A-,1,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,B,4,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,B+,1,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,C-,1,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,S,1,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,AAS,3877,001,Asian American History,W,1,Mai Lee,mainalee,1253,AAS 3877
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,17,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A-,6,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,22,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A-,5,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A,18,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A-,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,B,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,C,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,D,2,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,F,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,5,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,16,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B,5,Carol Klempka,cklempka,1253,ABUS 3051
