TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,A,8,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,A-,15,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,B,2,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,B+,14,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,B-,2,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,C,1,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,F,1,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1102,001,Intro Atlantic Slave Trade,W,1,David Woodward,dwoodwa1,AAAS 1102
1263,UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,A,26,Chang'aa Mweti,cmweti,AAAS 1103
1263,UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,A-,2,Chang'aa Mweti,cmweti,AAAS 1103
1263,UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,B,5,Chang'aa Mweti,cmweti,AAAS 1103
1263,UMNDL,UMNDL,AAAS,1103,001,Introduction to Africa,B+,3,Chang'aa Mweti,cmweti,AAAS 1103
1263,UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A,14,Laura Garbes,garbes,AAS 3211W
1263,UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,A-,2,Laura Garbes,garbes,AAS 3211W
1263,UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B,2,Laura Garbes,garbes,AAS 3211W
1263,UMNTC,UMNTC,AAS,3211W,001,Race & Racism in the U.S.,B-,2,Laura Garbes,garbes,AAS 3211W
