TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A,7,Ethan Johnson,,AAS 3251W
1235,UMNTC,AAS,3251W,001,"Race, Class, and Gender",B+,3,Ethan Johnson,,AAS 3251W
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,3,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A-,2,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B,2,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,1,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,F,1,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,3051,301,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,ABUS 3051
1235,UMNTC,ABUS,4022W,301,Management in Organizations,A,10,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,A-,5,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,B,1,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,B+,4,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,C-,2,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4022W,301,Management in Organizations,W,3,Bradley Goodell,bgoodell,ABUS 4022W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,A,17,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,A-,3,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,B,1,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,B+,1,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,B-,1,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,C,1,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,C+,2,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4023W,301,Communicating for Results,W,1,Bradley Goodell,bgoodell,ABUS 4023W
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,A,6,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,A-,2,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,B+,1,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,B-,1,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,C+,1,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4105,301,Authentic Business Leadership,F,1,Carol Klempka,cklempka,ABUS 4105
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,A,13,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,A-,3,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,B,3,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,B+,2,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,C-,1,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,D,1,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,W,1,Phillip Hampton,hamptonp,ABUS 4545
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,A,25,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,A-,14,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,B,4,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,B+,7,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,B-,2,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,C,2,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,C-,1,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,D+,1,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,F,5,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,2051,001,Intr Financial Rptg,W,1,Scott Johnson,joh20235,ACCT 2051
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,A,9,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,A-,6,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B,9,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B+,6,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B-,5,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,C,3,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,C+,2,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,D,1,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,F,1,Kendell Poch,beck0620,ACCT 3001
