TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
1235,Sum 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A,10,7,PI,"Johnson,Ethan William",,,
1235,Sum 2023,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B+,10,3,PI,"Johnson,Ethan William",,,
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A,12,3,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A-,12,2,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B,12,2,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B+,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,C,12,2,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,F,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,W,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,A,26,10,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,A-,26,5,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,B,26,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,B+,26,4,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,C+,26,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,C-,26,2,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,W,26,3,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,A,27,17,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,A-,27,3,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B,27,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B+,27,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,B-,27,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,C,27,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,C+,27,2,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,W,27,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,A,12,6,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,A-,12,2,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,B+,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,B-,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,C+,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,F,12,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,A,24,13,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,A-,24,3,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,B,24,3,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,B+,24,2,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,C-,24,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,D,24,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,W,24,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,A,62,25,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,A-,62,14,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B,62,4,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B+,62,7,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B-,62,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,C,62,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,C-,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,D+,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,F,62,5,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,W,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,A,42,9,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,A-,42,6,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B,42,9,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B+,42,6,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B-,42,5,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,C,42,3,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,C+,42,2,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,D,42,1,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,F,42,1,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,A,20,7,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,A-,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B+,20,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B-,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C,20,3,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C+,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C-,20,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ADDS,5031,1,LEC,Applied Psychopharmacology,A,14,13,PI,"McLoone,Ian P",Teaching Specialist,AP,imcloone
