CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,4,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,A-,2,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,3,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,F,1,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,301,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,1245,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,6,Caroline Marin,crmarin,1245,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,B,3,Caroline Marin,crmarin,1245,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,C-,2,Caroline Marin,crmarin,1245,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,F,1,Caroline Marin,crmarin,1245,ABUS 3051
UMNTC,ABUS,3051,302,Career Search for Profl Envt,W,1,Caroline Marin,crmarin,1245,ABUS 3051
UMNTC,ABUS,3301,301,Intro to Quality Management,A,13,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B,1,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,D+,1,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,F,3,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,1245,ABUS 3301
UMNTC,ABUS,4022W,301,Management in Organizations,A,2,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,A-,6,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B,3,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B+,6,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B-,4,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,C,2,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,C+,3,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,C-,1,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,D,1,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,F,1,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,W,1,Bradley Goodell,bgoodell,1245,ABUS 4022W
UMNTC,ABUS,4023W,301,Communicating for Results,A,13,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,A-,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B,4,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B+,5,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,B-,2,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,C,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,C+,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,C-,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,F,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4023W,301,Communicating for Results,W,1,Bradley Goodell,bgoodell,1245,ABUS 4023W
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,A,10,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,A-,2,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,B,1,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,B+,1,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C,1,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C+,2,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,C-,1,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4101,301,Accounting&Finance for Mgrs,F,3,Stacy O'Fallon,sofallon,1245,ABUS 4101
UMNTC,ABUS,4105,301,Authentic Business Leadership,A,7,Carol Klempka,cklempka,1245,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,A-,1,Carol Klempka,cklempka,1245,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,B+,3,Carol Klempka,cklempka,1245,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,B-,1,Carol Klempka,cklempka,1245,ABUS 4105
UMNTC,ABUS,4105,301,Authentic Business Leadership,D,1,Carol Klempka,cklempka,1245,ABUS 4105
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,A,7,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,A-,4,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,B,1,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,B+,5,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,B-,3,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,C,1,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,C-,1,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,D,1,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNTC,ABUS,4545,301,Defying Workplace Racial Bias,F,2,Phillip Hampton,hamptonp,1245,ABUS 4545
UMNDL,ACCT,2001,001,Principles of Financial Acctg,A,7,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,A-,1,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,B,4,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,B+,2,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,B-,2,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,C,3,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,C+,1,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,F,2,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2001,001,Principles of Financial Acctg,W,2,Rodger Brannan,rbrannan,1245,ACCT 2001
UMNDL,ACCT,2002,001,Prin of Mang Acctg,A,8,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,A-,1,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,B,2,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,B+,6,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,B-,5,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,C,3,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,C+,4,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,C-,1,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,D+,3,Yang Cheng,cheng917,1245,ACCT 2002
UMNDL,ACCT,2002,001,Prin of Mang Acctg,F,2,Yang Cheng,cheng917,1245,ACCT 2002
UMNTC,ACCT,2051,001,Intr Financial Rptg,A,15,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,A-,10,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,B,5,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,B+,6,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,B-,3,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,C,5,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,C+,6,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,C-,6,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,D,3,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,F,4,Tammy Naples,naples,1245,ACCT 2051
UMNTC,ACCT,2051,001,Intr Financial Rptg,W,8,Tammy Naples,naples,1245,ACCT 2051
UMNCR,ACCT,2101,E90,Principles of Accounting I,A,16,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,A-,1,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,B,3,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,B+,2,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,B-,2,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,C,1,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2101,E90,Principles of Accounting I,W,3,Grace Menze,gmenze,1245,ACCT 2101
UMNCR,ACCT,2102,E90,Principles of Accounting II,A,7,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,A-,4,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,B,1,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,B+,4,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,B-,2,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,C+,4,Grace Menze,gmenze,1245,ACCT 2102
UMNCR,ACCT,2102,E90,Principles of Accounting II,D+,2,Grace Menze,gmenze,1245,ACCT 2102
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,A,18,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,A-,16,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B,13,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B+,10,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,B-,7,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,C,3,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,C+,4,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,C-,2,Kendell Poch,beck0620,1245,ACCT 3001
UMNTC,ACCT,3001,020,Strategic Mgmt Acct,D,1,Kendell Poch,beck0620,1245,ACCT 3001
UMNCR,ACCT,3202,E90,Intermediate Accounting II,A,3,Ali Saeedi,asaeediv,1245,ACCT 3202
UMNCR,ACCT,3202,E90,Intermediate Accounting II,B,3,Ali Saeedi,asaeediv,1245,ACCT 3202
UMNCR,ACCT,3202,E90,Intermediate Accounting II,B+,1,Ali Saeedi,asaeediv,1245,ACCT 3202
UMNCR,ACCT,3202,E90,Intermediate Accounting II,B-,3,Ali Saeedi,asaeediv,1245,ACCT 3202
UMNCR,ACCT,3202,E90,Intermediate Accounting II,C-,1,Ali Saeedi,asaeediv,1245,ACCT 3202
UMNCR,ACCT,3220,E90,Accounting Systems,A,6,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,A-,3,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,B,1,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,B+,4,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,B-,1,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,C,1,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,D,1,Kara Bowen,klbowen,1245,ACCT 3220
UMNCR,ACCT,3220,E90,Accounting Systems,F,6,Kara Bowen,klbowen,1245,ACCT 3220
UMNDL,ACCT,3301,001,Accounting Information Systems,A,7,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3301,001,Accounting Information Systems,A-,3,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3301,001,Accounting Information Systems,B+,1,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3301,001,Accounting Information Systems,B-,2,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3301,001,Accounting Information Systems,D+,1,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3301,001,Accounting Information Systems,F,4,Yang Cheng,cheng917,1245,ACCT 3301
UMNDL,ACCT,3797,001,Internship in Accounting,A,11,Marte Kitson,mkitson,1245,ACCT 3797
UMNDL,ACCT,3797,001,Internship in Accounting,A-,2,Marte Kitson,mkitson,1245,ACCT 3797
UMNTC,ACCT,5101,020,Intermediate Accounting I,A,11,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,A-,6,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,B,6,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,B+,3,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,B-,4,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,C,2,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,C+,5,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,C-,1,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,F,1,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ACCT,5101,020,Intermediate Accounting I,W,1,Scott Johnson,joh20235,1245,ACCT 5101
UMNTC,ADDS,5091,001,Assessment & Treatment Plan I,A,12,Roy Kammer,rkammer,1245,ADDS 5091
UMNTC,ADDS,5091,001,Assessment & Treatment Plan I,B+,2,Roy Kammer,rkammer,1245,ADDS 5091
UMNTC,ADDS,5091,001,Assessment & Treatment Plan I,C,1,Roy Kammer,rkammer,1245,ADDS 5091
UMNTC,AFRO,3601W,001,African Literature,A,4,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,A-,1,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,B,2,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,B+,3,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,B-,1,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,F,1,Njeri Githire,ngithire,1245,AFRO 3601W
UMNTC,AFRO,3601W,001,African Literature,W,1,Njeri Githire,ngithire,1245,AFRO 3601W
UMNCR,AGEC,2310,E90,Agribusiness Financial Records,A,5,Charles Lariviere,clarivie,1245,AGEC 2310
UMNCR,AGEC,2310,E90,Agribusiness Financial Records,B,2,Charles Lariviere,clarivie,1245,AGEC 2310
UMNCR,AGEC,2310,E90,Agribusiness Financial Records,B+,1,Charles Lariviere,clarivie,1245,AGEC 2310
UMNCR,AGEC,2310,E90,Agribusiness Financial Records,B-,3,Charles Lariviere,clarivie,1245,AGEC 2310
