TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A,13,4,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,A-,13,2,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,B+,13,3,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,D,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,F,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,S,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,301,LEC,Career Search for Profl Envt,W,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,3051,302,LEC,Career Search for Profl Envt,A,13,6,PI,"Marin,Caroline Rose",Teaching Specialist,AP,crmarin
Sum 2024,UMNTC,UMNTC,ABUS,3051,302,LEC,Career Search for Profl Envt,B,13,3,PI,"Marin,Caroline Rose",Teaching Specialist,AP,crmarin
Sum 2024,UMNTC,UMNTC,ABUS,3051,302,LEC,Career Search for Profl Envt,C-,13,2,PI,"Marin,Caroline Rose",Teaching Specialist,AP,crmarin
