TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1255,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A,17,David Woodward,dwoodwa1,AAAS 1101
1255,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A-,3,David Woodward,dwoodwa1,AAAS 1101
1255,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,W,2,David Woodward,dwoodwa1,AAAS 1101
1255,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A,6,Joshua Caffrey,,AAS 3251W
1255,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A-,1,Joshua Caffrey,,AAS 3251W
1255,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",B+,2,Joshua Caffrey,,AAS 3251W
1255,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",B-,1,Joshua Caffrey,,AAS 3251W
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,10,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,F,3,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,6,Caroline Marin,crmarin,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B,2,Caroline Marin,crmarin,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,2,Caroline Marin,crmarin,ABUS 3051
1255,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,W,1,Caroline Marin,crmarin,ABUS 3051
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A,10,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,A-,3,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B,4,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B+,4,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,B-,2,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C+,1,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,C-,1,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,D,1,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,F,1,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,301,Strategic Management & Ldrship,W,2,Bradley Goodell,bgoodell,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A,7,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,A-,3,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B,2,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,B+,1,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,F,2,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4022W,302,Strategic Management & Ldrship,W,1,Uriah Giordana,ugiordan,ABUS 4022W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,A,9,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,A-,8,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B,1,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B+,1,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B-,1,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C,1,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C+,4,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,F,3,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,W,1,Bradley Goodell,bgoodell,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A,9,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A-,4,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B,1,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B+,3,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C,1,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C+,1,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C-,1,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,D,1,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,F,3,Isaac Johnson,isaacj,ABUS 4023W
1255,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A,5,Richard Brynteson,bryn0004,ABUS 4026
1255,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A-,2,Richard Brynteson,bryn0004,ABUS 4026
1255,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,B,2,Richard Brynteson,bryn0004,ABUS 4026
1255,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,F,2,Richard Brynteson,bryn0004,ABUS 4026
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,A,8,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,B,2,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,B-,1,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,C,2,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,D,1,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,F,1,Carol Klempka,cklempka,ABUS 4105
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,A,9,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,A-,2,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,B,1,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,B+,5,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C,2,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C+,1,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C-,1,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,D,3,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,D+,2,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,F,2,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,W,1,Phillip Hampton,hamptonp,ABUS 4545
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,A,14,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,A-,1,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,B,1,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,B+,3,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,C,1,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,W,4,Rodger Brannan,rbrannan,ACCT 2001
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,A,24,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,A-,10,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B,4,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B+,2,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,B-,2,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C,1,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C+,2,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,C-,1,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,D,1,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,F,1,Loren Erickson,lerickso,ACCT 2002
1255,UMNDL,UMNDL,ACCT,2002,001,Prin of Mang Acctg,W,2,Loren Erickson,lerickso,ACCT 2002
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,A,27,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,A-,11,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B,9,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B+,3,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,B-,6,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,C,4,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,C+,5,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,D,2,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,F,6,Scott Johnson,joh20235,ACCT 2051
1255,UMNTC,UMNTC,ACCT,2051,001,Intr Financial Rptg,W,7,Scott Johnson,joh20235,ACCT 2051
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,A,7,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,A-,3,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B,5,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B+,1,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,B-,1,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,C,2,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,C+,3,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,F,4,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2101,E90,Principles of Accounting I,W,2,Grace Menze,gmenze,ACCT 2101
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,A,3,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,A-,3,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B,4,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B+,4,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,B-,4,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,C,1,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,C-,1,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,D,1,Grace Menze,gmenze,ACCT 2102
1255,UMNCR,UMNCR,ACCT,2102,E90,Principles of Accounting II,F,3,Grace Menze,gmenze,ACCT 2102
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,A,15,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,A-,8,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B,7,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B+,8,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,B-,4,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,C,6,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,C-,2,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,F,1,Kendell Poch,beck0620,ACCT 3001
1255,UMNTC,UMNTC,ACCT,3001,020,Strategic Mgmt Accounting,W,2,Kendell Poch,beck0620,ACCT 3001
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,A,18,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,A-,3,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,B,2,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,B+,2,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,C-,1,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3010,E90,Managerial Accounting,F,2,Mohammed Konte,mkonte,ACCT 3010
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,A,6,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,A-,6,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B,5,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B+,2,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,B-,1,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,C,2,Kara Bowen,klbowen,ACCT 3220
1255,UMNCR,UMNCR,ACCT,3220,E90,Accounting Systems,W,2,Kara Bowen,klbowen,ACCT 3220
1255,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,A,10,Marte Kitson,mkitson,ACCT 3797
1255,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,A-,3,Marte Kitson,mkitson,ACCT 3797
1255,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,B,1,Marte Kitson,mkitson,ACCT 3797
1255,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,B+,1,Marte Kitson,mkitson,ACCT 3797
1255,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,C-,1,Marte Kitson,mkitson,ACCT 3797
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,A,16,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,A-,5,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B,4,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B+,7,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B-,5,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C,2,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C+,2,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C-,1,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,D,1,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,W,1,Scott Johnson,joh20235,ACCT 5101
1255,UMNTC,UMNTC,ADDS,6015,001,Social and Cultural Diversity,A,17,Tom Hegblom,hegbl003,ADDS 6015
1255,UMNTC,UMNTC,ADDS,6015,001,Social and Cultural Diversity,A-,1,Tom Hegblom,hegbl003,ADDS 6015
1255,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,A,14,Fiyyaz Karim,kari0057,ADDS 6021
1255,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,A-,1,Fiyyaz Karim,kari0057,ADDS 6021
1255,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,B,1,Fiyyaz Karim,kari0057,ADDS 6021
1255,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",A,7,Jennifer Weigelt,jweigelt,ADDS 6025
1255,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",A-,2,Jennifer Weigelt,jweigelt,ADDS 6025
1255,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",B+,1,Jennifer Weigelt,jweigelt,ADDS 6025
1255,UMNTC,UMNTC,ADDS,6031,001,Foundations  Assmt and Treatmt,A,16,Kenneth Roberts,rober843,ADDS 6031
1255,UMNTC,UMNTC,ADDS,6031,001,Foundations  Assmt and Treatmt,A-,1,Kenneth Roberts,rober843,ADDS 6031
