TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A,22,17,PI,"Woodward,David James",Instructor,dwoodwa1
1255,Sum 2025,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,A-,22,3,PI,"Woodward,David James",Instructor,dwoodwa1
1255,Sum 2025,UMNDL,UMNDL,AAAS,1101,001,Intro Black Caribbean Studies,W,22,2,PI,"Woodward,David James",Instructor,dwoodwa1
1255,Sum 2025,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A,10,6,PI,"Caffrey,Joshua",,
1255,Sum 2025,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",A-,10,1,PI,"Caffrey,Joshua",,
1255,Sum 2025,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",B+,10,2,PI,"Caffrey,Joshua",,
1255,Sum 2025,UMNTC,UMNTC,AAS,3251W,001,"Race, Class, and Gender",B-,10,1,PI,"Caffrey,Joshua",,
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,A,19,10,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,B+,19,2,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C,19,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C-,19,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,F,19,3,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,19,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
