TERM,SUBJECT,CATALOG_NBR,CLASS_SECTION,FULL_NAME
1175,AEM,2011,002,AEM 2011
1175,AEM,3031,002,AEM 3031
1175,CHMB,5818,001,CHMB 5818
1175,CI,5696,101,CI 5696
1175,CI,5981,200,CI 5981
1175,CI,5986,200,CI 5986
1175,CI,5987,200,CI 5987
1175,DDS,6492,001,DDS 6492
1175,ESCI,1006,101,ESCI 1006
1175,ESCI,1006,102,ESCI 1006
1175,FOST,3201,500,FOST 3201
1175,FOST,3202,500,FOST 3202
1175,FOST,3203,500,FOST 3203
1175,FOST,3590,500,FOST 3590
1175,GEOG,1403,002,GEOG 1403
1175,LNDN,3343W,500,LNDN 3343W
1175,LNDN,3375,500,LNDN 3375
1175,LNDN,3613,500,LNDN 3613
1175,MADR,4901,500,MADR 4901
1175,MED,7500,081,MED 7500
1175,MONT,3701,500,MONT 3701
1175,MRCO,3599,500,MRCO 3599
1175,PHYS,1201W,102,PHYS 1201W
1175,PHYS,1201W,104,PHYS 1201W
1175,PHYS,1201W,106,PHYS 1201W
1175,PHYS,1202W,102,PHYS 1202W
1175,PHYS,1202W,104,PHYS 1202W
1175,ROME,3013,500,ROME 3013
1175,SDNY,3375,500,SDNY 3375
1175,SFS,3500,500,SFS 3500
1175,SFS,3520,500,SFS 3520
1175,SFS,3530,500,SFS 3530
1175,SFS,3540,500,SFS 3540
1175,SFS,3550,500,SFS 3550
1175,SFS,3560,500,SFS 3560
1175,SFS,3570,500,SFS 3570
1175,SFS,3580,500,SFS 3580
1175,SFS,4930,500,SFS 4930
1175,SOC,3811,002,SOC 3811
1175,SPAN,1003,500,SPAN 1003
1175,SPAN,1004,500,SPAN 1004
1175,STAT,3011,002,STAT 3011
1175,STAT,3011,003,STAT 3011
1175,STAT,3011,004,STAT 3011
1175,STAT,3021,002,STAT 3021
1175,STAT,3022,002,STAT 3022
1175,STAT,3022,003,STAT 3022
1175,STAT,3032,002,STAT 3032
1175,STAT,3701,002,STAT 3701
1175,TLDO,3024,500,TLDO 3024
1175,TLDO,3105W,500,TLDO 3105W
1175,TLDO,3234,500,TLDO 3234
1175,TLDO,3236,500,TLDO 3236
1175,TLDO,3302,500,TLDO 3302
1175,TLDO,3502,500,TLDO 3502
1175,VMBA,5707,001,VMBA 5707
1179,ADES,2213,002,ADES 2213
1179,ADES,2213,004,ADES 2213
1179,ADES,2213,005,ADES 2213
1179,ADES,2213,007,ADES 2213
1179,AEM,2011,002,AEM 2011
1179,AEM,2011,003,AEM 2011
1179,AEM,2011,004,AEM 2011
1179,AEM,2011,005,AEM 2011
1179,AEM,2011,006,AEM 2011
1179,AEM,2011,007,AEM 2011
1179,AEM,2012,003,AEM 2012
1179,AEM,2021,002,AEM 2021
1179,AEM,2021,003,AEM 2021
1179,AEM,2021,004,AEM 2021
1179,AEM,2021,005,AEM 2021
1179,AEM,2021,006,AEM 2021
1179,AEM,2021,007,AEM 2021
1179,AEM,3031,002,AEM 3031
1179,AEM,3031,003,AEM 3031
1179,AEM,3031,004,AEM 3031
1179,AEM,3031,005,AEM 3031
1179,AEM,3031,006,AEM 3031
1179,AEM,4331,002,AEM 4331
1179,AEM,4331,003,AEM 4331
1179,AEM,4331,004,AEM 4331
1179,AEM,4331,005,AEM 4331
1179,AEM,4602W,002,AEM 4602W
1179,AEM,4602W,003,AEM 4602W
1179,AEM,4602W,004,AEM 4602W
1179,AEM,4602W,005,AEM 4602W
1179,AEM,4602W,006,AEM 4602W
1179,AEM,4602W,007,AEM 4602W
1179,AEM,8888,001,AEM 8888
1179,APSC,8888,001,APSC 8888
1179,AST,8444,001,AST 8444
1179,BA,4994H,001,BA 4994H
1179,BBE,8777,001,BBE 8777
1179,BIOC,8888,001,BIOC 8888
1179,BMEN,8888,001,BMEN 8888
1179,CEGE,8666,001,CEGE 8666
1179,CHEM,4311W,002,CHEM 4311W
1179,CHEM,4311W,003,CHEM 4311W
1179,CHMB,5800,001,CHMB 5800
1179,CHMB,5802,001,CHMB 5802
1179,CHMB,5810,001,CHMB 5810
1179,CHMB,5811,001,CHMB 5811
1179,CHMB,5817,001,CHMB 5817
1179,CI,5213,300,CI 5213
1179,CI,5214,300,CI 5214
1179,CSCI,8666,001,CSCI 8666
1179,CSCI,8888,001,CSCI 8888
1179,DES,1101W,002,DES 1101W
1179,DES,1101W,003,DES 1101W
1179,DES,1101W,004,DES 1101W
1179,DES,1101W,005,DES 1101W
1179,DES,1101W,006,DES 1101W
1179,DES,1111,002,DES 1111
1179,DES,1111,003,DES 1111
1179,DES,1111,005,DES 1111
1179,ECDR,3011W,500,ECDR 3011W
1179,ECDR,3030W,500,ECDR 3030W
1179,ECON,1101,002,ECON 1101
1179,ECON,1101,003,ECON 1101
1179,ECON,1101,004,ECON 1101
1179,ECON,1101,005,ECON 1101
1179,ECON,1101,006,ECON 1101
1179,ECON,1101,007,ECON 1101
1179,ECON,1101,008,ECON 1101
1179,ECON,1101,009,ECON 1101
1179,ECON,1101,010,ECON 1101
1179,ECON,1101,011,ECON 1101
1179,ECON,1101,013,ECON 1101
1179,ECON,1101,015,ECON 1101
1179,ECON,1101,016,ECON 1101
1179,ECON,1101,018,ECON 1101
1179,ECON,1101,019,ECON 1101
1179,ECON,1101,020,ECON 1101
1179,ECON,1101,021,ECON 1101
1179,ECON,1101,022,ECON 1101
1179,ECON,1101,023,ECON 1101
1179,ECON,1101,025,ECON 1101
1179,ECON,1101,026,ECON 1101
1179,ECON,1101,027,ECON 1101
1179,ECON,1101,028,ECON 1101
1179,ECON,1101,029,ECON 1101
1179,ECON,1101,030,ECON 1101
1179,ECON,1101,032,ECON 1101
1179,ECON,1101,033,ECON 1101
1179,ECON,1101,034,ECON 1101
1179,ECON,1101,035,ECON 1101
1179,ECON,1101,037,ECON 1101
1179,ECON,1101,041,ECON 1101
1179,ECON,1101,043,ECON 1101
1179,ECON,1101,045,ECON 1101
1179,ECON,1101,055,ECON 1101
1179,ECON,1101,063,ECON 1101
1179,ECON,1101,065,ECON 1101
1179,ECON,1101,067,ECON 1101
1179,ECON,1101,068,ECON 1101
1179,ECON,1101,071,ECON 1101
1179,ECON,1101,074,ECON 1101
1179,ECON,1101,075,ECON 1101
1179,ECON,1102,002,ECON 1102
1179,ECON,1102,003,ECON 1102
1179,ECON,1102,004,ECON 1102
1179,ECON,1102,005,ECON 1102
1179,ECON,1102,006,ECON 1102
1179,ECON,1102,007,ECON 1102
1179,ECON,1102,031,ECON 1102
1179,ECON,1102,033,ECON 1102
1179,ECON,1102,040,ECON 1102
1179,ECON,3101,002,ECON 3101
1179,ECON,3101,003,ECON 3101
1179,ECON,3101,004,ECON 3101
1179,ECON,3101,005,ECON 3101
1179,ECON,3101,006,ECON 3101
1179,ECON,3101,007,ECON 3101
1179,ECON,3101,008,ECON 3101
1179,ECON,3101,009,ECON 3101
1179,ECON,3102,002,ECON 3102
1179,ECON,3102,003,ECON 3102
1179,ECON,3102,004,ECON 3102
1179,ECON,3102,005,ECON 3102
1179,ECON,3951,001,ECON 3951
1179,ECON,3960,001,ECON 3960
1179,ECON,4211,002,ECON 4211
1179,ECON,4261,002,ECON 4261
1179,ECON,4261,003,ECON 4261
1179,ECON,4311,001,ECON 4311
1179,ECON,4317,001,ECON 4317
1179,ECON,4331W,001,ECON 4331W
1179,ECON,4331W,002,ECON 4331W
1179,ECON,4337,001,ECON 4337
1179,ECON,4531,001,ECON 4531
1179,ECON,4631,001,ECON 4631
1179,ECON,4721,001,ECON 4721
1179,ECON,4721,002,ECON 4721
1179,ECON,4751,001,ECON 4751
1179,ECON,4751,002,ECON 4751
1179,ECON,4821,001,ECON 4821
1179,ECON,4831,001,ECON 4831
1179,ECON,8101,002,ECON 8101
1179,ECON,8102,002,ECON 8102
1179,ECON,8105,002,ECON 8105
1179,ECON,8106,002,ECON 8106
1179,ECON,8205,002,ECON 8205
1179,ECON,8206,002,ECON 8206
1179,EEB,8888,001,EEB 8888
1179,ENGL,1001W,002,ENGL 1001W
1179,ENGL,1001W,003,ENGL 1001W
1179,ENGL,1001W,004,ENGL 1001W
1179,ENGL,1001W,005,ENGL 1001W
1179,ENGL,1181W,002,ENGL 1181W
1179,ENGL,1181W,003,ENGL 1181W
1179,ENGL,1301W,002,ENGL 1301W
1179,ENGL,1301W,003,ENGL 1301W
1179,ENGL,1301W,004,ENGL 1301W
1179,ENGL,1301W,005,ENGL 1301W
1179,ENGL,1301W,006,ENGL 1301W
1179,ENGL,1301W,007,ENGL 1301W
1179,ENGL,3003W,002,ENGL 3003W
1179,ENGL,3003W,003,ENGL 3003W
1179,ENGL,3005W,002,ENGL 3005W
1179,ENGL,3005W,003,ENGL 3005W
1179,ENGL,3005W,004,ENGL 3005W
1179,ENGL,3005W,005,ENGL 3005W
1179,ENT,8777,001,ENT 8777
1179,ENT,8888,001,ENT 8888
1179,ESCI,1007,102,ESCI 1007
1179,ESCI,1007,103,ESCI 1007
1179,ESCI,1007,104,ESCI 1007
1179,ESCI,1007,105,ESCI 1007
1179,ESCI,1007,107,ESCI 1007
1179,ESCI,8666,001,ESCI 8666
1179,ESCI,8888,001,ESCI 8888
1179,ESCI,8994,001,ESCI 8994
1179,FOST,1201,501,FOST 1201
1179,FOST,1202,501,FOST 1202
1179,FOST,1500,501,FOST 1500
1179,FOST,1530,501,FOST 1530
1179,FOST,3201,501,FOST 3201
1179,FOST,3202,501,FOST 3202
1179,FOST,3203,501,FOST 3203
1179,FOST,3204,501,FOST 3204
1179,FOST,3205,501,FOST 3205
1179,FOST,3206,501,FOST 3206
1179,FOST,3500,501,FOST 3500
1179,FOST,3530,501,FOST 3530
1179,FOST,3540,501,FOST 3540
1179,FOST,3590,501,FOST 3590
1179,FREN,8888,001,FREN 8888
1179,FSCN,4291,001,FSCN 4291
1179,FSCN,8777,001,FSCN 8777
1179,GEOG,1301W,002,GEOG 1301W
1179,GEOG,1301W,003,GEOG 1301W
1179,GEOG,1301W,004,GEOG 1301W
1179,GEOG,1301W,005,GEOG 1301W
1179,GEOG,1403,002,GEOG 1403
1179,GEOG,1403,003,GEOG 1403
1179,GEOG,1403,005,GEOG 1403
1179,GEOG,1403,006,GEOG 1403
1179,GEOG,1403,007,GEOG 1403
1179,GEOG,1403,008,GEOG 1403
1179,GEOG,1403,010,GEOG 1403
