SUBJECT,CATALOG_NBR,Course Title,Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP
AAS,1101,Imagining Asian America,Spr 2021,5.67,5.33,5.64,5.42,5.75,5.42,5.50,12
AAS,1101,Imagining Asian America,Spr 2022,5.20,5.05,4.61,5.05,4.85,4.15,4.55,20
AAS,3301,Asian Amer thru Arts Culture,Fall 2020,5.70,5.10,5.40,5.50,5.60,5.60,5.70,10
AAS,3301,Asian Amer thru Arts Culture,Fall 2021,5.60,5.60,4.80,5.00,4.00,5.00,5.40,5
AAS,3341,Asian American Images,Spr 2021,5.80,5.40,5.40,5.20,5.20,5.40,5.60,5
AAS,3341,Asian American Images,Spr 2022,6.00,6.00,6.00,6.00,5.80,6.00,6.00,5
AAS,3351,Asian Amer and Popular Culture,Fall 2020,6.00,6.00,5.00,5.00,5.00,6.00,6.00,1
AAS,3351,Asian Amer and Popular Culture,Fall 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2
AAS,3351,Asian Amer and Popular Culture,Fall 2022,4.00,4.25,5.25,4.75,5.75,4.75,4.25,4
AAS,3361,Asian Americans and Food,Fall 2020,5.38,5.75,5.13,5.57,5.63,5.63,5.63,8
AAS,3361,Asian Americans and Food,Fall 2021,6.00,5.50,5.00,5.00,5.50,5.00,5.50,2
AAS,3483,Hmong History Across the Globe,Fall 2020,6.00,5.00,6.00,6.00,4.00,6.00,6.00,1
AAS,3486,Hmong Refugees,Spr 2021,6.00,6.00,4.00,6.00,5.00,5.00,5.00,1
AAS,3503,"Asian Am Id, Families, & Comm",Spr 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1
AAS,3503,"Asian Am Id, Families, & Comm",Fall 2022,5.50,5.50,5.50,5.50,5.50,5.50,5.50,2
AAS,3862,American Immigration History,Fall 2021,4.00,4.00,5.00,3.00,4.00,4.50,3.00,2
AAS,3877,Asian American History,Sum 2021,5.00,5.67,5.67,5.00,5.00,5.67,5.67,3
AAS,3877,Asian American History,Spr 2022,6.00,5.88,5.75,5.75,5.50,5.88,6.00,8
AAS,3920,Topics: Asian American Studies,Spr 2022,6.00,5.00,4.00,5.50,5.00,4.00,5.00,2
AAS,4231,Color of Public Policy in US,Fall 2020,5.00,6.00,2.00,2.00,2.00,1.00,4.00,1
AAS,4232,Am Drama by Writers of Color,Spr 2021,5.50,5.50,5.50,6.00,6.00,5.50,6.00,2
AAS,4311,Asian American Lit and Drama,Spr 2022,4.67,3.67,5.00,4.67,4.67,4.00,3.33,3
AAS,3211W,Race & Racism in the U.S.,Fall 2020,5.40,5.20,4.80,5.20,5.20,5.20,5.40,5
AAS,3211W,Race & Racism in the U.S.,Spr 2021,6.00,6.00,4.00,5.50,4.00,2.00,5.50,2
AAS,3211W,Race & Racism in the U.S.,Fall 2021,5.33,4.89,5.56,5.11,5.11,5.00,5.00,9
AAS,3211W,Race & Racism in the U.S.,Spr 2022,5.83,5.83,5.50,5.67,5.00,5.17,5.67,6
AAS,3211W,Race & Racism in the U.S.,Fall 2022,5.82,5.73,5.64,5.91,5.82,5.82,5.73,11
AAS,3251W,"Race, Class, and Gender",Fall 2020,5.67,5.67,4.17,5.00,5.33,4.83,5.17,6
AAS,3251W,"Race, Class, and Gender",Spr 2021,5.67,5.58,5.83,5.25,5.25,5.58,5.75,12
AAS,3251W,"Race, Class, and Gender",Fall 2021,5.33,4.67,5.00,5.00,5.00,4.33,4.67,3
AAS,3251W,"Race, Class, and Gender",Spr 2022,4.50,4.00,4.75,3.75,5.00,4.75,3.75,4
AAS,3251W,"Race, Class, and Gender",Fall 2022,5.24,5.12,5.53,5.59,5.59,5.41,5.29,17
AAS,3303W,Writing Differences,Fall 2020,6.00,6.00,5.60,5.80,5.60,5.40,6.00,5
AAS,3303W,Writing Differences,Fall 2021,5.29,5.14,5.43,5.29,5.29,5.29,5.14,7
AAS,3303W,Writing Differences,Fall 2022,5.29,5.29,5.57,5.14,5.29,5.14,5.29,7
AAS,3409W,Asian American Women Culture,Spr 2022,4.67,4.33,4.00,4.33,2.67,4.00,4.00,3
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2020,5.50,5.30,5.22,5.10,5.30,5.10,5.10,10
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2021,4.50,4.50,3.75,4.00,4.25,4.00,4.50,4
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2022,5.50,5.50,5.17,5.33,5.50,5.17,5.50,6
ABUS,3051,Career Search for Profl Envt,Fall 2020,5.60,5.47,5.60,5.60,5.67,5.47,5.67,15
ABUS,3051,Career Search for Profl Envt,Spr 2021,5.43,5.15,5.33,5.48,5.62,5.52,5.57,22
ABUS,3051,Career Search for Profl Envt,Sum 2021,4.67,4.33,4.00,4.67,5.33,5.33,4.67,3
ABUS,3051,Career Search for Profl Envt,Fall 2021,5.22,5.20,5.19,5.22,5.44,5.47,5.50,36
ABUS,3051,Career Search for Profl Envt,Spr 2022,5.57,5.32,5.46,5.39,5.50,5.30,5.39,28
ABUS,3051,Career Search for Profl Envt,Fall 2022,5.55,5.27,5.48,5.55,5.61,5.52,5.44,33
ABUS,3052,Careers in Remote Gig Economy,Fall 2020,5.92,5.67,5.83,5.92,5.83,5.83,5.92,12
ABUS,3052,Careers in Remote Gig Economy,Spr 2021,5.71,5.71,5.57,5.64,5.64,5.86,5.79,14
ABUS,3052,Careers in Remote Gig Economy,Sum 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1
ABUS,3052,Careers in Remote Gig Economy,Fall 2021,5.82,5.73,5.82,5.76,5.64,5.91,5.86,22
ABUS,3052,Careers in Remote Gig Economy,Spr 2022,5.82,5.64,5.55,5.55,5.64,5.73,5.64,11
ABUS,3052,Careers in Remote Gig Economy,Fall 2022,5.46,5.50,5.62,5.46,5.23,5.31,5.46,13
ABUS,3201,Digital Design-Small Business,Fall 2020,5.86,5.71,6.00,5.86,5.71,5.86,5.71,7
ABUS,3201,Digital Design-Small Business,Spr 2021,5.56,5.33,5.56,5.56,5.33,6.00,5.50,9
ABUS,3201,Digital Design-Small Business,Fall 2021,5.86,5.93,5.86,5.93,5.79,5.86,5.93,14
ABUS,3201,Digital Design-Small Business,Spr 2022,5.71,5.44,5.65,5.71,5.76,5.76,5.65,17
ABUS,3201,Digital Design-Small Business,Fall 2022,5.77,5.92,6.00,5.92,5.92,5.69,5.92,13
ABUS,3301,Intro to Quality Management,Fall 2020,4.20,4.00,4.00,4.60,4.80,5.00,4.60,5
ABUS,3301,Intro to Quality Management,Spr 2021,5.25,4.60,4.60,4.80,4.40,4.60,4.60,5
ABUS,3301,Intro to Quality Management,Sum 2021,5.50,5.00,5.50,5.00,5.50,5.50,5.00,2
ABUS,3301,Intro to Quality Management,Fall 2021,5.11,4.44,4.89,4.67,4.56,4.89,4.78,9
ABUS,3301,Intro to Quality Management,Spr 2022,5.00,5.00,5.25,4.50,5.25,5.50,5.25,4
ABUS,3301,Intro to Quality Management,Fall 2022,4.80,4.60,4.60,5.00,5.40,5.40,5.20,5
ABUS,3510,Virtual Global Communication,Fall 2020,4.33,4.33,5.00,5.00,5.20,4.83,5.17,6
ABUS,3510,Virtual Global Communication,Sum 2021,5.50,5.50,6.00,6.00,6.00,5.50,6.00,2
ABUS,3510,Virtual Global Communication,Fall 2021,5.43,5.00,5.43,5.43,5.43,5.29,5.57,7
ABUS,3510,Virtual Global Communication,Fall 2022,5.33,5.33,5.67,5.33,5.67,5.67,5.67,3
ABUS,4022,Management in Organizations,Fall 2020,5.63,5.40,5.65,5.50,5.70,5.75,5.75,20
ABUS,4022,Management in Organizations,Spr 2021,5.47,5.33,5.73,5.47,5.40,5.87,5.67,15
ABUS,4022,Management in Organizations,Sum 2021,5.80,5.40,5.80,5.80,6.00,6.00,5.80,5
ABUS,4022,Management in Organizations,Fall 2021,5.84,5.21,5.95,5.79,5.84,5.95,5.84,20
ABUS,4022,Management in Organizations,Spr 2022,5.60,5.27,5.47,5.40,5.27,5.40,5.33,15
