DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
5.67,5.33,5.64,5.42,5.75,5.42,5.5,12,AAS 1101
5.2,5.05,4.61,5.05,4.85,4.15,4.55,20,AAS 1101
5.7,5.1,5.4,5.5,5.6,5.6,5.7,10,AAS 3301
5.6,5.6,4.8,5.0,4.0,5.0,5.4,5,AAS 3301
5.8,5.4,5.4,5.2,5.2,5.4,5.6,5,AAS 3341
6.0,6.0,6.0,6.0,5.8,6.0,6.0,5,AAS 3341
6.0,6.0,5.0,5.0,5.0,6.0,6.0,1,AAS 3351
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,AAS 3351
5.38,5.75,5.13,5.57,5.63,5.63,5.63,8,AAS 3361
6.0,5.5,5.0,5.0,5.5,5.0,5.5,2,AAS 3361
6.0,5.0,6.0,6.0,4.0,6.0,6.0,1,AAS 3483
6.0,6.0,4.0,6.0,5.0,5.0,5.0,1,AAS 3486
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,AAS 3503
4.0,4.0,5.0,3.0,4.0,4.5,3.0,2,AAS 3862
5.0,5.67,5.67,5.0,5.0,5.67,5.67,3,AAS 3877
6.0,5.88,5.75,5.75,5.5,5.88,6.0,8,AAS 3877
6.0,5.0,4.0,5.5,5.0,4.0,5.0,2,AAS 3920
5.0,6.0,2.0,2.0,2.0,1.0,4.0,1,AAS 4231
5.5,5.5,5.5,6.0,6.0,5.5,6.0,2,AAS 4232
4.67,3.67,5.0,4.67,4.67,4.0,3.33,3,AAS 4311
5.4,5.2,4.8,5.2,5.2,5.2,5.4,5,AAS 3211W
6.0,6.0,4.0,5.5,4.0,2.0,5.5,2,AAS 3211W
5.33,4.89,5.56,5.11,5.11,5.0,5.0,9,AAS 3211W
5.83,5.83,5.5,5.67,5.0,5.17,5.67,6,AAS 3211W
5.67,5.67,4.17,5.0,5.33,4.83,5.17,6,AAS 3251W
5.67,5.58,5.83,5.25,5.25,5.58,5.75,12,AAS 3251W
5.33,4.67,5.0,5.0,5.0,4.33,4.67,3,AAS 3251W
4.5,4.0,4.75,3.75,5.0,4.75,3.75,4,AAS 3251W
6.0,6.0,5.6,5.8,5.6,5.4,6.0,5,AAS 3303W
5.29,5.14,5.43,5.29,5.29,5.29,5.14,7,AAS 3303W
4.67,4.33,4.0,4.33,2.67,4.0,4.0,3,AAS 3409W
5.5,5.3,5.22,5.1,5.3,5.1,5.1,10,AAS 3601W
4.5,4.5,3.75,4.0,4.25,4.0,4.5,4,AAS 3601W
5.6,5.47,5.6,5.6,5.67,5.47,5.67,15,ABUS 3051
5.43,5.15,5.33,5.48,5.62,5.52,5.57,22,ABUS 3051
4.67,4.33,4.0,4.67,5.33,5.33,4.67,3,ABUS 3051
5.22,5.2,5.19,5.22,5.44,5.47,5.5,36,ABUS 3051
5.57,5.32,5.46,5.39,5.5,5.3,5.39,28,ABUS 3051
5.92,5.67,5.83,5.92,5.83,5.83,5.92,12,ABUS 3052
5.71,5.71,5.57,5.64,5.64,5.86,5.79,14,ABUS 3052
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 3052
5.82,5.73,5.82,5.76,5.64,5.91,5.86,22,ABUS 3052
5.82,5.64,5.55,5.55,5.64,5.73,5.64,11,ABUS 3052
5.86,5.71,6.0,5.86,5.71,5.86,5.71,7,ABUS 3201
5.56,5.33,5.56,5.56,5.33,6.0,5.5,9,ABUS 3201
5.86,5.93,5.86,5.93,5.79,5.86,5.93,14,ABUS 3201
5.71,5.44,5.65,5.71,5.76,5.76,5.65,17,ABUS 3201
4.2,4.0,4.0,4.6,4.8,5.0,4.6,5,ABUS 3301
5.25,4.6,4.6,4.8,4.4,4.6,4.6,5,ABUS 3301
5.5,5.0,5.5,5.0,5.5,5.5,5.0,2,ABUS 3301
5.11,4.44,4.89,4.67,4.56,4.89,4.78,9,ABUS 3301
5.0,5.0,5.25,4.5,5.25,5.5,5.25,4,ABUS 3301
4.33,4.33,5.0,5.0,5.2,4.83,5.17,6,ABUS 3510
5.5,5.5,6.0,6.0,6.0,5.5,6.0,2,ABUS 3510
5.43,5.0,5.43,5.43,5.43,5.29,5.57,7,ABUS 3510
5.63,5.4,5.65,5.5,5.7,5.75,5.75,20,ABUS 4022
5.47,5.33,5.73,5.47,5.4,5.87,5.67,15,ABUS 4022
5.8,5.4,5.8,5.8,6.0,6.0,5.8,5,ABUS 4022
5.84,5.21,5.95,5.79,5.84,5.95,5.84,20,ABUS 4022
5.6,5.27,5.47,5.4,5.27,5.4,5.33,15,ABUS 4022
5.11,4.56,5.0,4.78,5.11,5.67,4.78,9,ABUS 4041
5.3,4.9,5.6,5.3,4.8,5.2,4.6,10,ABUS 4041
5.4,5.0,5.6,5.4,4.9,5.0,4.9,11,ABUS 4041
5.14,4.2,5.17,5.0,3.83,4.17,3.67,7,ABUS 4041
5.33,5.0,5.67,5.33,5.0,5.67,5.33,3,ABUS 4043
4.33,4.0,4.33,4.67,4.83,5.67,4.67,6,ABUS 4043
5.17,3.5,4.0,4.5,5.33,5.17,4.0,6,ABUS 4043
4.33,4.0,3.0,3.33,3.67,4.67,3.33,3,ABUS 4043
5.38,4.75,5.25,5.13,5.38,5.5,5.0,8,ABUS 4101
5.5,3.5,5.0,4.0,5.5,5.5,4.5,2,ABUS 4101
5.0,4.0,5.0,5.0,5.0,5.0,3.0,1,ABUS 4101
6.0,5.67,5.33,5.67,5.67,6.0,5.33,3,ABUS 4101
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 4101
5.67,5.33,5.33,5.33,5.33,5.33,5.67,3,ABUS 4104
5.57,5.0,5.43,5.29,5.14,5.57,5.43,7,ABUS 4104
5.17,4.67,5.5,5.5,5.5,5.5,5.33,6,ABUS 4104
5.2,5.0,5.4,5.2,5.4,5.5,5.4,10,ABUS 4104
5.75,5.75,5.5,5.25,5.25,4.75,5.25,4,ABUS 4105
6.0,6.0,6.0,6.0,6.0,6.0,5.0,1,ABUS 4105
5.83,5.83,6.0,6.0,6.0,6.0,6.0,6,ABUS 4105
5.33,4.67,5.0,5.0,4.67,5.0,4.33,3,ABUS 4151
5.0,4.33,5.33,4.33,5.0,5.33,4.33,3,ABUS 4151
5.43,5.0,5.14,5.0,5.29,5.43,5.14,7,ABUS 4151
5.0,5.0,5.0,4.8,4.4,5.2,5.0,5,ABUS 4151
5.0,5.0,5.0,4.0,5.5,5.5,3.5,2,ABUS 4217
4.33,4.56,4.22,3.89,3.25,4.67,4.0,9,ABUS 4217
4.8,5.2,5.0,4.8,4.0,4.8,4.2,5,ABUS 4218
4.2,4.0,3.6,3.6,3.6,4.6,3.4,5,ABUS 4218
5.2,5.33,5.17,5.0,5.17,5.33,5.0,6,ABUS 4501
5.22,4.89,4.67,4.67,5.44,5.11,4.78,9,ABUS 4501
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ABUS 4502
5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4502
6.0,5.5,6.0,6.0,6.0,5.5,6.0,2,ABUS 4502
6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4509
4.67,4.67,5.0,4.67,4.67,4.67,4.67,3,ABUS 4515
5.14,5.43,5.33,5.0,5.71,5.71,5.29,7,ABUS 4515
4.67,3.33,4.67,4.67,4.67,5.0,4.0,3,ABUS 4515
5.0,4.6,5.2,5.0,5.5,4.8,5.2,5,ABUS 4515
5.0,6.0,4.0,5.0,6.0,6.0,6.0,1,ABUS 4518
5.88,6.0,5.88,6.0,5.88,6.0,6.0,8,ABUS 4545
5.5,5.5,5.5,5.0,5.0,4.0,5.0,2,ABUS 4545
5.33,5.33,5.33,5.67,5.33,4.33,5.33,3,ABUS 4545
5.0,5.0,5.5,5.5,5.5,5.0,5.5,2,ABUS 4545
5.0,4.4,5.2,5.2,4.4,5.2,4.6,5,ABUS 4571
5.54,5.38,5.58,5.38,5.46,5.23,5.23,13,ABUS 4571
4.33,4.17,5.0,4.33,4.0,3.67,4.17,6,ABUS 4571
6.0,5.4,5.4,5.6,5.6,5.2,5.8,5,ABUS 4571
5.0,5.0,4.0,4.0,5.0,5.0,5.0,1,ABUS 4701
5.0,4.67,5.67,5.33,5.33,5.0,5.33,3,ABUS 4701
4.5,4.5,4.5,5.0,5.0,4.5,5.0,2,ABUS 4701
5.33,5.17,5.83,5.33,5.67,5.5,5.5,6,ABUS 4701
4.45,4.36,4.55,4.18,3.27,3.09,3.64,11,ABUS 4702
5.75,6.0,5.75,5.25,5.25,5.25,5.75,4,ABUS 4702
5.0,4.91,4.92,4.58,3.75,3.92,4.58,12,ABUS 4702
5.67,5.17,4.83,5.0,4.33,4.83,4.5,6,ABUS 4702
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 4703
4.5,5.0,3.5,4.5,5.5,5.5,4.0,2,ABUS 4703
4.0,4.0,5.0,4.0,6.0,6.0,4.0,1,ABUS 4705
6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4013W
4.75,4.75,4.25,4.75,4.75,4.75,3.25,4,ABUS 4013W
5.33,4.33,6.0,5.67,6.0,6.0,5.33,4,ABUS 4013W
4.0,2.0,2.5,5.0,4.5,4.0,3.0,2,ABUS 4013W
5.31,5.15,5.69,5.31,5.62,5.62,5.62,13,ABUS 4023W
5.0,4.88,5.33,5.0,5.22,5.44,5.33,9,ABUS 4023W
5.17,4.5,5.33,5.33,5.0,5.67,5.17,6,ABUS 4023W
5.6,5.13,5.73,5.53,5.47,5.73,5.53,15,ABUS 4023W
5.42,4.58,5.42,5.25,5.58,5.25,5.08,12,ABUS 4023W
5.53,4.87,5.53,5.47,5.47,5.47,5.2,15,ACCT 1911
5.67,5.46,5.69,5.69,5.23,5.69,5.38,13,ACCT 1911
6.0,6.0,5.83,6.0,5.83,5.75,5.92,12,ACCT 1911
5.42,5.42,5.33,5.17,5.42,5.67,5.5,13,ACCT 1911
5.31,4.62,5.2,5.17,5.16,5.19,5.06,345,ACCT 2050
5.14,4.46,5.09,5.07,4.98,5.07,4.85,388,ACCT 2050
4.06,3.59,3.65,4.12,4.18,3.71,3.47,17,ACCT 2050
5.39,4.92,5.29,5.33,5.26,5.29,5.22,503,ACCT 2050
5.44,4.79,5.41,5.4,5.23,5.41,5.16,357,ACCT 2050
5.39,4.69,5.45,5.39,5.36,5.61,5.1,224,ACCT 3001
