Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Spr 2021,5.67,5.33,5.64,5.42,5.75,5.42,5.5,12,AAS 1101
Spr 2022,5.2,5.05,4.61,5.05,4.85,4.15,4.55,20,AAS 1101
Fall 2020,5.7,5.1,5.4,5.5,5.6,5.6,5.7,10,AAS 3301
Fall 2021,5.6,5.6,4.8,5.0,4.0,5.0,5.4,5,AAS 3301
Spr 2021,5.8,5.4,5.4,5.2,5.2,5.4,5.6,5,AAS 3341
Spr 2022,6.0,6.0,6.0,6.0,5.8,6.0,6.0,5,AAS 3341
Spr 2023,5.33,5.33,5.33,4.67,5.0,4.67,5.33,3,AAS 3341
Fall 2020,6.0,6.0,5.0,5.0,5.0,6.0,6.0,1,AAS 3351
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,AAS 3351
Fall 2022,4.0,4.25,5.25,4.75,5.75,4.75,4.25,4,AAS 3351
Fall 2020,5.38,5.75,5.13,5.57,5.63,5.63,5.63,8,AAS 3361
Fall 2021,6.0,5.5,5.0,5.0,5.5,5.0,5.5,2,AAS 3361
Fall 2020,6.0,5.0,6.0,6.0,4.0,6.0,6.0,1,AAS 3483
Spr 2021,6.0,6.0,4.0,6.0,5.0,5.0,5.0,1,AAS 3486
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,AAS 3503
Fall 2022,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,AAS 3503
Fall 2021,4.0,4.0,5.0,3.0,4.0,4.5,3.0,2,AAS 3862
Sum 2021,5.0,5.67,5.67,5.0,5.0,5.67,5.67,3,AAS 3877
Spr 2022,6.0,5.88,5.75,5.75,5.5,5.88,6.0,8,AAS 3877
Spr 2022,6.0,5.0,4.0,5.5,5.0,4.0,5.0,2,AAS 3920
Spr 2023,5.0,3.0,5.0,3.0,5.0,5.0,4.0,1,AAS 3920
Fall 2020,5.0,6.0,2.0,2.0,2.0,1.0,4.0,1,AAS 4231
