SUBJECT,CATALOG_NBR,Class Nbr,Course Title,Term,DEEP_UND,STIM_INT,TECH_EFF,GRAD_STAND,RECC,RESP
AAS,1101,797460,Imagining Asian America,Fall 2016,5.66,5.49,5.37,5.09,5.50,35
AAS,1101,797460,Imagining Asian America,Spr 2018,5.61,5.50,5.54,5.61,5.58,38
AAS,1101,797460,Imagining Asian America,Spr 2019,5.77,5.46,5.00,5.23,5.38,13
AAS,3001,797787,Contmp Persp on Asian America,Spr 2015,5.67,5.67,5.50,5.67,5.83,6
AAS,3301,797462,Asian Amer thru Arts Culture,Spr 2019,5.22,5.00,5.43,5.14,5.17,23
AAS,3341,817324,Asian American Images,Spr 2019,6.00,5.67,5.67,5.67,5.67,3
AAS,3351,817325,Asian Amer and Popular Culture,Fall 2019,5.50,4.50,5.50,5.50,5.50,2
AAS,3483,805604,Hmong History Across the Globe,Fall 2017,5.75,5.38,5.43,5.71,5.50,8
AAS,3483,805604,Hmong History Across the Globe,Fall 2019,5.22,5.44,4.89,4.67,4.89,9
AAS,3486,810632,Hmong Refugees,Spr 2015,5.71,5.59,5.12,5.24,5.18,17
AAS,3486,810632,Hmong Refugees,Spr 2017,5.33,4.95,4.94,4.84,5.11,21
AAS,3486,810632,Hmong Refugees,Spr 2018,5.86,5.71,5.67,4.86,5.57,7
AAS,3486,810632,Hmong Refugees,Spr 2019,5.13,5.00,4.85,4.33,4.67,15
AAS,3503,810666,"Asian Am Id, Families, & Comm",Spr 2015,5.57,5.52,5.53,5.62,5.76,22
AAS,3503,810666,"Asian Am Id, Families, & Comm",Spr 2016,5.63,5.65,5.64,5.63,5.72,43
AAS,3503,810666,"Asian Am Id, Families, & Comm",Spr 2017,5.75,5.79,5.78,5.71,5.79,28
AAS,3862,807822,American Immigration History,Spr 2016,5.85,5.69,5.54,5.54,5.83,13
AAS,3862,807822,American Immigration History,Sum 2016,5.91,5.73,5.56,5.38,5.70,11
AAS,3862,807822,American Immigration History,Spr 2017,5.59,5.40,5.49,5.55,5.50,109
AAS,3862,807822,American Immigration History,Fall 2017,5.53,5.33,5.17,5.45,5.21,31
AAS,3862,807822,American Immigration History,Spr 2019,5.03,4.83,5.15,5.21,4.86,29
AAS,3862,807822,American Immigration History,Fall 2019,4.92,4.80,5.12,5.48,4.68,25
AAS,3877,797463,Asian American History,Fall 2015,5.77,5.62,5.51,5.42,5.55,39
AAS,3920,797452,Topics: Asian American Studies,Fall 2015,5.89,5.67,4.89,5.22,5.56,9
AAS,3920,797452,Topics: Asian American Studies,Spr 2016,6.00,6.00,5.25,5.40,6.00,5
AAS,3920,797452,Topics: Asian American Studies,Fall 2016,5.95,5.95,5.80,5.78,5.90,44
AAS,3920,797452,Topics: Asian American Studies,Fall 2018,5.78,5.89,5.57,5.00,5.33,9
AAS,4232,806339,Am Drama by Writers of Color,Spr 2015,5.75,5.75,5.67,5.75,5.67,4
AAS,4311,797453,Asian American Lit and Drama,Fall 2015,5.83,5.67,5.17,5.33,5.83,6
AAS,4311,797453,Asian American Lit and Drama,Spr 2016,5.38,5.19,5.00,4.88,5.57,16
AAS,4311,797453,Asian American Lit and Drama,Fall 2017,5.57,5.43,5.14,4.86,5.57,7
AAS,3211W,816256,Race & Racism in the U.S.,Spr 2017,5.46,5.29,5.29,5.09,5.40,36
AAS,3211W,816256,Race & Racism in the U.S.,Fall 2019,5.21,5.29,5.24,5.15,5.36,48
AAS,3251W,803710,"Race, Class, and Gender",Spr 2015,4.91,4.71,4.57,4.94,4.82,35
AAS,3251W,803710,"Race, Class, and Gender",Spr 2016,5.45,5.24,5.27,5.20,5.24,51
AAS,3251W,803710,"Race, Class, and Gender",Spr 2017,5.56,5.49,5.39,5.07,5.45,41
AAS,3251W,803710,"Race, Class, and Gender",Fall 2019,5.58,5.38,5.52,5.67,5.56,45
AAS,3303W,810102,Writing Differences,Fall 2016,5.78,5.56,5.25,3.89,5.44,9
AAS,3303W,810102,Writing Differences,Fall 2019,5.51,5.40,5.47,5.37,5.43,35
AAS,3409W,797461,Asian American Women Culture,Spr 2017,5.00,5.00,5.00,5.00,5.50,2
AAS,3601W,817961,War & Empire: Asian Amer Persp,Fall 2018,5.88,5.75,5.50,6.00,5.88,8
AAS,3875W,804789,US Comparative Race/Ethnicity,Spr 2016,5.18,5.06,5.29,5.24,5.00,17
AAS,3875W,804789,US Comparative Race/Ethnicity,Spr 2017,5.65,5.53,5.29,5.71,5.75,17
ABUS,3051,805356,Career Search for Profl Envt,Spr 2015,5.32,5.33,5.58,5.47,5.42,20
ABUS,3051,805356,Career Search for Profl Envt,Sum 2015,6.00,6.00,6.00,6.00,6.00,4
