,,Course Title,Term,"Deeper
 under- standing
 of the subject
 matter.","Interest in the
 subject matter
 was stimulated.","Effective use of
 instructional
 technology.",Activities in course supported my learning.,Effort needed to succeed is reasonable.,"Grading
 standards
 were clear.","I would
 recommend
 this course.",# Resp
AAS,1101,Imagining Asian America,Spr 2021,5.67,5.33,5.64,5.42,5.75,5.42,5.50,12
AAS,1101,Imagining Asian America,Spr 2022,5.20,5.05,4.61,5.05,4.85,4.15,4.55,20
AAS,1101,Imagining Asian America,Fall 2023,4.88,4.25,4.13,4.13,4.38,5.00,3.88,8
AAS,1101,Imagining Asian America,Fall 2024,5.60,5.30,5.10,5.10,5.40,5.30,5.10,10
AAS,1201,Racial Formation/Transform US,Spr 2025,6.00,4.50,5.00,5.50,5.00,5.50,5.50,2
AAS,3001,Contmp Persp on Asian America,Fall 2024,5.25,5.20,5.00,5.20,5.60,4.40,5.20,5
AAS,3301,Asian Amer thru Arts Culture,Fall 2020,5.70,5.10,5.40,5.50,5.60,5.60,5.70,10
AAS,3301,Asian Amer thru Arts Culture,Fall 2021,5.60,5.60,4.80,5.00,4.00,5.00,5.40,5
AAS,3301,Asian Amer thru Arts Culture,Spr 2024,5.75,5.25,4.25,5.50,5.50,4.50,5.25,4
AAS,3301,Asian Amer thru Arts Culture,Fall 2024,5.75,5.75,5.75,5.75,5.75,5.75,5.75,4
AAS,3301,Asian Amer thru Arts Culture,Spr 2025,5.75,5.75,4.00,5.50,5.25,3.25,5.25,4
AAS,3341,Asian American Images,Spr 2021,5.80,5.40,5.40,5.20,5.20,5.40,5.60,5
AAS,3341,Asian American Images,Spr 2022,6.00,6.00,6.00,6.00,5.80,6.00,6.00,5
AAS,3341,Asian American Images,Spr 2023,5.33,5.33,5.33,4.67,5.00,4.67,5.33,3
AAS,3341,Asian American Images,Spr 2024,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2
AAS,3351,Asian Amer and Popular Culture,Fall 2020,6.00,6.00,5.00,5.00,5.00,6.00,6.00,1
AAS,3351,Asian Amer and Popular Culture,Fall 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2
AAS,3351,Asian Amer and Popular Culture,Fall 2022,4.00,4.25,5.25,4.75,5.75,4.75,4.25,4
AAS,3351,Asian Amer and Popular Culture,Fall 2023,5.00,4.67,5.33,4.33,5.67,5.00,4.33,3
AAS,3351,Asian Amer and Popular Culture,Fall 2024,5.80,5.60,5.75,5.80,5.80,5.80,6.00,5
AAS,3361,Asian Americans and Food,Fall 2020,5.38,5.75,5.13,5.57,5.63,5.63,5.63,8
AAS,3361,Asian Americans and Food,Fall 2021,6.00,5.50,5.00,5.00,5.50,5.00,5.50,2
AAS,3361,Asian Americans and Food,Spr 2025,6.00,6.00,5.86,5.86,5.86,5.86,5.86,7
AAS,3483,Hmong History Across the Globe,Fall 2020,6.00,5.00,6.00,6.00,4.00,6.00,6.00,1
AAS,3483,Hmong History Across the Globe,Fall 2023,6.00,6.00,5.00,5.00,5.00,4.00,5.00,1
AAS,3486,Hmong Refugees,Spr 2021,6.00,6.00,4.00,6.00,5.00,5.00,5.00,1
AAS,3503,"Asian Am Id, Families, & Comm",Spr 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1
AAS,3503,"Asian Am Id, Families, & Comm",Fall 2022,5.50,5.50,5.50,5.50,5.50,5.50,5.50,2
AAS,3862,American Immigration History,Fall 2021,4.00,4.00,5.00,3.00,4.00,4.50,3.00,2
AAS,3877,Asian American History,Sum 2021,5.00,5.67,5.67,5.00,5.00,5.67,5.67,3
AAS,3877,Asian American History,Spr 2022,6.00,5.88,5.75,5.75,5.50,5.88,6.00,8
AAS,3877,Asian American History,Spr 2025,5.00,5.00,2.60,4.00,3.00,2.60,2.40,5
AAS,3920,Topics: Asian American Studies,Spr 2022,6.00,5.00,4.00,5.50,5.00,4.00,5.00,2
AAS,3920,Topics: Asian American Studies,Spr 2023,5.00,3.00,5.00,3.00,5.00,5.00,4.00,1
AAS,4231,Color of Public Policy in US,Fall 2020,5.00,6.00,2.00,2.00,2.00,1.00,4.00,1
AAS,4232,Am Drama by Writers of Color,Spr 2021,5.50,5.50,5.50,6.00,6.00,5.50,6.00,2
AAS,4311,Asian American Lit and Drama,Spr 2022,4.67,3.67,5.00,4.67,4.67,4.00,3.33,3
AAS,4311,Asian American Lit and Drama,Spr 2025,5.60,5.40,5.40,5.40,5.40,5.40,5.20,5
AAS,3211W,Race & Racism in the U.S.,Fall 2020,5.40,5.20,4.80,5.20,5.20,5.20,5.40,5
AAS,3211W,Race & Racism in the U.S.,Spr 2021,6.00,6.00,4.00,5.50,4.00,2.00,5.50,2
AAS,3211W,Race & Racism in the U.S.,Fall 2021,5.33,4.89,5.56,5.11,5.11,5.00,5.00,9
AAS,3211W,Race & Racism in the U.S.,Spr 2022,5.83,5.83,5.50,5.67,5.00,5.17,5.67,6
AAS,3211W,Race & Racism in the U.S.,Fall 2022,5.82,5.73,5.64,5.91,5.82,5.82,5.73,11
AAS,3211W,Race & Racism in the U.S.,Spr 2023,5.86,5.86,5.57,5.71,5.71,5.71,5.86,7
AAS,3211W,Race & Racism in the U.S.,Fall 2023,5.56,5.33,5.33,5.44,5.11,5.67,5.00,9
AAS,3211W,Race & Racism in the U.S.,Spr 2024,5.17,4.83,5.83,5.00,5.50,5.50,5.00,6
AAS,3211W,Race & Racism in the U.S.,Fall 2024,5.33,5.00,5.67,5.00,4.00,4.33,4.00,3
AAS,3211W,Race & Racism in the U.S.,Spr 2025,5.13,5.25,4.88,5.13,5.38,5.50,5.38,8
AAS,3251W,"Race, Class, and Gender",Fall 2020,5.67,5.67,4.17,5.00,5.33,4.83,5.17,6
AAS,3251W,"Race, Class, and Gender",Spr 2021,5.67,5.58,5.83,5.25,5.25,5.58,5.75,12
AAS,3251W,"Race, Class, and Gender",Fall 2021,5.33,4.67,5.00,5.00,5.00,4.33,4.67,3
AAS,3251W,"Race, Class, and Gender",Spr 2022,4.50,4.00,4.75,3.75,5.00,4.75,3.75,4
AAS,3251W,"Race, Class, and Gender",Fall 2022,5.24,5.12,5.53,5.59,5.59,5.41,5.29,17
AAS,3251W,"Race, Class, and Gender",Spr 2023,4.29,4.00,3.71,4.00,4.86,4.71,4.00,7
AAS,3251W,"Race, Class, and Gender",Sum 2023,6.00,5.67,5.67,6.00,5.67,6.00,5.67,3
AAS,3251W,"Race, Class, and Gender",Fall 2023,5.67,5.50,5.67,5.67,5.83,5.83,5.83,6
AAS,3251W,"Race, Class, and Gender",Spr 2024,5.50,5.38,5.75,5.63,5.50,5.50,5.38,8
AAS,3251W,"Race, Class, and Gender",Sum 2024,5.67,5.00,5.33,5.33,5.33,5.67,5.67,6
AAS,3251W,"Race, Class, and Gender",Fall 2024,5.57,5.00,5.29,5.33,5.43,5.57,5.43,7
AAS,3251W,"Race, Class, and Gender",Spr 2025,5.75,5.75,5.25,5.75,5.75,5.50,5.25,4
AAS,3303W,Writing Differences,Fall 2020,6.00,6.00,5.60,5.80,5.60,5.40,6.00,5
AAS,3303W,Writing Differences,Fall 2021,5.29,5.14,5.43,5.29,5.29,5.29,5.14,7
AAS,3303W,Writing Differences,Fall 2022,5.29,5.29,5.57,5.14,5.29,5.14,5.29,7
AAS,3303W,Writing Differences,Fall 2023,4.63,4.75,4.75,4.50,5.14,4.38,4.50,8
AAS,3409W,Asian American Women Culture,Spr 2022,4.67,4.33,4.00,4.33,2.67,4.00,4.00,3
AAS,3409W,Asian American Women Culture,Spr 2023,4.00,4.00,3.50,4.00,3.50,3.50,3.50,2
AAS,3409W,Asian American Women Culture,Spr 2024,5.50,5.44,5.56,5.44,5.67,5.22,5.56,10
AAS,3409W,Asian American Women Culture,Spr 2025,5.10,4.80,4.90,5.20,5.20,5.00,5.00,10
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2020,5.50,5.30,5.22,5.10,5.30,5.10,5.10,10
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2021,4.50,4.50,3.75,4.00,4.25,4.00,4.50,4
